,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Prisoner (feat. Dua Lipa)","Miley Cyrus",35754,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
54,"We're Coming Up","Julie Bergan",35569,https://open.spotify.com/track/641HeBTrjkU6pqCXs2irXc
55,"Hvis verden","Chris Holsten",32467,https://open.spotify.com/track/3quis1aFmQ0tlDbbq3RPOx
56,Atlantern,"Stig Brenner",31589,https://open.spotify.com/track/4h6GHYsg2DDAs3j0fA3Ysn
57,"Nå Tennes Tusen Julelys","Kurt Nilsen",30536,https://open.spotify.com/track/514a6jNU8B1KS7QV387ZUU
58,"Feliz Navidad","José Feliciano",30231,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
59,"Engler i sne",eMMa,29248,https://open.spotify.com/track/59GOf2vvt1WFPzsvQDhVUw
60,Romjulsdrøm,"Eva Weel Skram",29206,https://open.spotify.com/track/4WJcOzrNVgHMGS5zgnU6pS
61,"Have Yourself A Merry Little Christmas","Sam Smith",29049,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
62,"Santa's Coming for Us",Sia,28031,https://open.spotify.com/track/1N1ZpYUJc9fwrqk53FGgWv
63,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",27934,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
64,"BlimE! - Ser Deg","Victor Sotberg",27883,https://open.spotify.com/track/5Du3rnveQft7usQHGOr1yq
65,"Show Out (with Skepta & Pop Smoke)","Kid Cudi",27767,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
66,"Space Melody (Edward Artemyev) (feat. Leony)",VIZE,27760,https://open.spotify.com/track/0FRavXSn6XmeItbuJR3VrR
67,"It's Ok If You Forget Me","Astrid S",27375,https://open.spotify.com/track/4YwIOEhqg57IX2QasbetBi
68,"Head & Heart (feat. MNEK)","Joel Corry",27000,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
69,"Someone You Loved","Lewis Capaldi",26874,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
70,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,26509,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
71,"Karl Johan",Ringnes-Ronny,25981,https://open.spotify.com/track/46v4XAUfknD2BTqZQ60YAX
72,"Gje Meg Handa Di Venn","Kurt Nilsen",25846,https://open.spotify.com/track/5Nsnr6aTiNzECvns3OFcFx
73,"Dear God",Ruben,25704,https://open.spotify.com/track/0SDZIfwGmTWP5emacUo6zG
74,"Under treet","Morgan Sulele",25583,https://open.spotify.com/track/5GyK0VoeWtQvT1Yesd0mVh
75,"champagne problems","Taylor Swift",25419,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
76,Everglow,Coldplay,24943,https://open.spotify.com/track/6aG68QSwv0hgNTq90I2GOE
77,"She Knows This","Kid Cudi",24910,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV
78,"Roses - Imanbek Remix","SAINt JHN",24820,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
79,"Way Out (feat. Big Sean)","Jack Harlow",24461,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
80,"Jeg vil ha ribbe","Ole Hartz",24021,https://open.spotify.com/track/6Tx5z5Vzve0j0UklMxMOoi
81,"Before You Go","Lewis Capaldi",23803,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
82,"gold rush","Taylor Swift",23701,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
83,"Sonjas Sang Til Julestjernen","Hanne Krogh",23561,https://open.spotify.com/track/5iRUvTV2P5VmyJHzZNApOk
84,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",23453,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
85,Svingensongen,"Odd Nordstoga",23148,https://open.spotify.com/track/4SxcFcdTrSpYPvANjtdlWY
86,"Hei Ha Na Er Det Jul Igjen","Per Asplin",23114,https://open.spotify.com/track/1JJSuNgiMhszCopp1THnDF
87,"WAP (feat. Megan Thee Stallion)","Cardi B",23044,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
88,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",22806,https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
89,"If the World Was Ending - feat. Julia Michaels","JP Saxe",22767,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
90,"Tequila Shots","Kid Cudi",22640,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
91,"Tyler Herro","Jack Harlow",22588,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
92,"no body, no crime (feat. HAIM)","Taylor Swift",22580,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
93,"Savage Love (Laxed - Siren Beat)","Jawsh 685",22522,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
94,Ice,Arif,22491,https://open.spotify.com/track/2tvocippXkXAFDdJpy72MY
95,"Watermelon Sugar","Harry Styles",22434,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
96,Wonder,"Shawn Mendes",22390,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
97,"Er ikke verre",Bølgen,22232,https://open.spotify.com/track/1onIk6JelFU9LASUyaT3I1
98,Jolevise,"Odd Nordstoga",22184,https://open.spotify.com/track/3acaDSqgRjQNDkwSnRAG6v
99,"‘tis the damn season","Taylor Swift",22169,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
100,"Dance Monkey","Tones And I",22143,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
101,"Falle til ro (From the Original Netflix Series ""Home For Christmas"")","Eva Weel Skram",22109,https://open.spotify.com/track/6oJLgaS6Py1tSKAJTKSe5K
102,"En Stjerne Skinner I Natt","Oslo Gospel Choir",22051,https://open.spotify.com/track/3KMc0U9VvdfO7prTinQz3T
103,Valhalla,Ringnes-Ronny,21973,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
104,"Christmas Without You","Ava Max",21877,https://open.spotify.com/track/1QLZKzC2pjP4ySf4ALrNhm
105,Haugenstua,"Herman Flesvig",21798,https://open.spotify.com/track/0GFOW30WB6SsPoeOlZdDPl
106,"Put Your Records On","Ritt Momney",21736,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
107,"Igjen Og Igjen (feat. TIX)","El Papi",21490,https://open.spotify.com/track/4twPIcFhR0270afJADX60L
108,"tolerate it","Taylor Swift",21469,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
109,"Sleigh Ride","The Ronettes",21376,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
110,"Holy (feat. Chance The Rapper)","Justin Bieber",21329,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
111,Goosebumps,HVME,21281,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
112,"Nordnorsk julesalme","Oslo Gospel Choir",21116,https://open.spotify.com/track/6Bw5hKNyFd3O1D6ofOdHtO
113,"The Christmas Song (Merry Christmas To You)","Nat King Cole",21050,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
114,"White Christmas","Bing Crosby",20794,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
115,"Nå tennes tusen julelys","Eva Weel Skram",20748,https://open.spotify.com/track/2vjzhJlKujbm5h9RcDq79V
