,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ciumeira - Ao Vivo","Marília Mendonça",585029,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1
2,"O Bebê","MC Kevinho",445799,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
3,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",445765,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
4,"Só Você",DENNIS,395775,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen
5,"Medley da Gaiola - DENNIS Remix","MC Kevin o Chris",395719,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE
6,Favela,Alok,375814,https://open.spotify.com/track/2JVbZEpewmqNlSzmXJTx2E
7,"Ao Vivo E A Cores","Matheus & Kauan",375448,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
8,"Zé da Recaída","Gusttavo Lima",347833,https://open.spotify.com/track/4iGwWeV7XVIWO9Yy5QExOr
9,"Propaganda - Ao Vivo","Jorge & Mateus",342076,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
10,"Meu Abrigo",Melim,317537,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
11,"Sofazinho - Ao Vivo","Luan Santana",290711,https://open.spotify.com/track/2PMLdLt5QeOuOgxfAvx1in
12,"Saudade Nível Hard","Yasmin Santos",290594,https://open.spotify.com/track/2dmGj5Nf01FcR6N4HPzAbL
13,"Pouca Pausa",Clau,289208,https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
14,"Romance Com Safadeza","Wesley Safadão",280209,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
15,"O Alvo (feat. Henrique & Juliano) - Ao Vivo","Diego & Victor Hugo",278925,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
16,Medicina,Anitta,274141,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
17,"Quero Que Tu Vá",Ananda,271297,https://open.spotify.com/track/7ppLcVgxpoWAhAa2c0CN3b
18,Fuleragem,"MC WM",270113,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
19,"Só Pra Castigar","Wesley Safadão",268726,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW
20,Kikadinha,"Jerry Smith",265871,https://open.spotify.com/track/5TUYLsiIi3tuvR2fCJjZUy
21,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",257549,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
22,"Pra Inveja É Tchau","Mc Kevin",255388,https://open.spotify.com/track/4cnNrOojGyU6J3OXqVTPIg
23,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",254704,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
24,"Novinha Você É uma Flor","MCs Thin e Alexandre",254225,https://open.spotify.com/track/4kiauw5SBqEsu5GuGD09aM
25,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",253979,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
26,"Amor de Verdade","MC Kekel",234521,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
