,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,SAD!,XXXTENTACION,3895,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
57,Believer,"Imagine Dragons",3818,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
58,Dembow,"Danny Ocean",3683,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
59,"God is a woman","Ariana Grande",3675,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
60,"Adiós Amor","Christian Nodal",3674,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
61,"Taste (feat. Offset)",Tyga,3667,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
62,Perfect,"Ed Sheeran",3665,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
63,Calypso,"Luis Fonsi",3641,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
64,"Mi Cama - Remix","KAROL G",3596,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
65,"Promises (with Sam Smith)","Calvin Harris",3583,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
66,"New Rules","Dua Lipa",3560,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
67,"rockstar (feat. 21 Savage)","Post Malone",3551,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
68,"Electricity (with Dua Lipa)","Silk City",3542,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
69,Bella,Wolfine,3430,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
70,Esperándote,"Manuel Turizo",3417,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
71,"Epa Wei","Danny Ocean",3417,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
72,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",3325,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
73,"Escápate Conmigo (feat. Ozuna)",Wisin,3316,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
74,Sensualidad,"Bad Bunny",3312,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
75,"no tears left to cry","Ariana Grande",3253,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
76,IDGAF,"Dua Lipa",3222,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
77,"Robarte un Beso","Carlos Vives",3202,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
78,Devuelveme,Ozuna,3171,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
79,"SICKO MODE","Travis Scott",3170,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
80,"Una Lady Como Tú","Manuel Turizo",3167,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
81,"Bella - Remix",Wolfine,3156,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
82,"Jocelyn Flores",XXXTENTACION,3106,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
83,Natural,"Imagine Dragons",3076,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
84,"El Farsante - Remix",Ozuna,3063,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
85,"Otra vez (feat. J Balvin)","Zion & Lennox",3055,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
86,Celoso,"Lele Pons",2957,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
87,Happier,Marshmello,2938,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
88,changes,XXXTENTACION,2932,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
89,"Besos En Guerra",Morat,2924,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
90,Ambiente,"J Balvin",2923,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
91,"Too Good At Goodbyes","Sam Smith",2870,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
92,Dura,"Daddy Yankee",2866,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
93,Bipolar,"Chris Jedi",2854,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
94,"Zum Zum","Daddy Yankee",2816,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
95,"Eastside (with Halsey & Khalid)","benny blanco",2800,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
96,Dimelo,"Paulo Londra",2793,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
97,"The Scientist",Coldplay,2762,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
98,"Who Mad Again",Jahyanai,2755,https://open.spotify.com/track/6sZ2zjebkPsXTrxhvaRFJF
99,"Que Va","Alex Sensation",2751,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
100,"In My Mind",Dynoro,2729,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
101,Aura,Ozuna,2707,https://open.spotify.com/track/1AVu7Kc2MRrLfOG1RCEf07
102,"Ahora Dice","Chris Jedi",2703,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
103,"Amor de Verdade","MC Kekel",2701,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
104,Moonlight,XXXTENTACION,2666,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
105,"Thinking out Loud","Ed Sheeran",2663,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
106,"Lucid Dreams","Juice WRLD",2663,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
107,"Bohemian Rhapsody - Remastered 2011",Queen,2652,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
108,"Solo (feat. Demi Lovato)","Clean Bandit",2623,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
109,"La Asesina","Zacarias Ferreira",2603,https://open.spotify.com/track/1WoDc1x28zHmxnPvvM5GLh
110,"La flaca","Jarabe De Palo",2597,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
111,Thunderclouds,Sia,2577,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
112,"Play Tune (So so So) [Radio Edit]","Dj Coss",2567,https://open.spotify.com/track/1MB6CjaR3z8YA3yIo4HdFv
113,"Havana (feat. Young Thug)","Camila Cabello",2558,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
114,breathin,"Ariana Grande",2531,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
115,Thunder,"Imagine Dragons",2523,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
116,"El Farsante",Ozuna,2520,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ
117,Casualidad,Nacho,2516,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
118,Amorfoda,"Bad Bunny",2514,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
119,Triste,"Bryant Myers",2502,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
120,"Mi Gente","J Balvin",2502,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
121,"No Brainer","DJ Khaled",2480,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
122,"Tú Foto",Ozuna,2478,https://open.spotify.com/track/5zSOVwaY3sVjnmLhuEfsuf
123,"Cómo Te Voy A Olvidar","Los Ángeles Azules",2471,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv
124,Mayores,"Becky G",2469,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
125,"La Incondicional","Luis Miguel",2469,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
126,Coolant,Farruko,2463,https://open.spotify.com/track/2fHOqQ9K6eY0wsbVZiYZPw
127,Coméntale,Ozuna,2449,https://open.spotify.com/track/7oCGD6Ccuw8JmYWw6IrI8z
128,Nonstop,Drake,2388,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
129,"One Dance",Drake,2384,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
130,"Me Dediqué a Perderte","Alejandro Fernández",2379,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
131,"Mi Cama","KAROL G",2378,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
132,"Sweet Child O' Mine","Guns N' Roses",2376,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
133,"¿Cual es tu plan?","Bad Bunny",2365,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
134,"El Préstamo",Maluma,2339,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
135,Caraluna,Bacilos,2335,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
136,Killshot,Eminem,2323,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
