,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Un peu de haine",PLK,346782,https://open.spotify.com/track/5yYfCoMrhcuxMP9CAmA2rU
2,"Ma belle","Moha La Squale",288027,https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D
3,"HÉ OH",Gambi,276566,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
4,Bâtiment,Niska,253974,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX
5,Problèmes,PLK,247003,https://open.spotify.com/track/6lZbLMHu98qpkOY0t3efUK
6,Méchant,Niska,246026,https://open.spotify.com/track/75bVc27bDSOAhMAL38cXpV
7,"Dance Monkey","Tones And I",228804,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Elle est bonne sa mère",Vegedream,202396,https://open.spotify.com/track/7j56bK7gq6iV7zsD6lbP4J
9,Señorita,"Shawn Mendes",199824,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,"Du lundi au lundi",Niska,192525,https://open.spotify.com/track/4vR2zaYAW8CtzwodeFufkI
11,Lalala,Y2K,186315,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
12,Médicament,Niska,185312,https://open.spotify.com/track/0udmmo0fTwWbm6VqEHAvYF
13,"Mr Sal",Niska,176379,https://open.spotify.com/track/6P1FUURjn1CXB4y74paDOK
14,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",175743,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
15,"Journal perso II",Vald,168823,https://open.spotify.com/track/5D3QfcDoUnLjMtsOdxmucm
16,Siliconé,Niska,168534,https://open.spotify.com/track/4pmQt0EAXwy2SyXOJJ2bPU
17,Tricheur,Nekfeu,164314,https://open.spotify.com/track/7C7GtWZmyicqjBDbAWPsCp
18,"Toute l'année (feat. Timal)",PLK,155977,https://open.spotify.com/track/5PlemGdKGymY91Emm5xDbr
19,Mendoza,Niska,145465,https://open.spotify.com/track/32md7VvQTg5kQqPnbHFjx5
20,Compliqué,Dadju,144776,https://open.spotify.com/track/2On7uB8PN8JJmBNsms8unQ
