,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Relación,Sech,27799,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
2,"Yo Perreo Sola","Bad Bunny",23502,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
3,Rojo,"J Balvin",22279,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
4,Safaera,"Bad Bunny",21773,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
5,Favorito,Camilo,20710,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
6,PORFA,Feid,20631,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
7,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",19774,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
8,"Tak Tiki Tak","Harry Nach",19177,https://open.spotify.com/track/0aCTSZQTlmnjQucALTF00s
9,"Blinding Lights","The Weeknd",18096,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Tattoo,"Rauw Alejandro",17970,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
11,Azul,"J Balvin",17876,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
12,"Hasta Que Dios Diga","Anuel AA",16629,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
13,Morado,"J Balvin",15993,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
14,Jangueo,"Alex Rose",15924,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
15,Tusa,"KAROL G",15493,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,"Hola - Remix",Dalex,15399,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
17,Diosa,"Myke Towers",15105,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
18,Amarillo,"J Balvin",14770,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
19,Ignorantes,"Bad Bunny",14089,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
20,"Sigues Con El","Dímelo Flow",13830,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
21,"Si Veo a Tu Mamá","Bad Bunny",13700,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
22,"El Efecto","Rauw Alejandro",13492,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
23,"CÓMO SE SIENTE - Remix","Jhay Cortez",13476,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
24,"La Difícil","Bad Bunny",13302,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
25,"No Me Conoce - Remix","Jhay Cortez",12560,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
26,"Los Besos",Greeicy,12502,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG
27,Fantasias,"Rauw Alejandro",12299,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
28,"Quiéreme Mientras Se Pueda","Manuel Turizo",12167,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
29,"LA CANCIÓN","J Balvin",12113,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
30,"Don't Start Now","Dua Lipa",11946,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
31,"Dance Monkey","Tones And I",11886,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
32,"La Jeepeta - Remix","Nio Garcia",11879,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
33,"Sigues Con El - Remix",Arcangel,11855,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
34,"Por Primera Vez",Camilo,11548,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
35,Locura,"Cali Y El Dandee",11065,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
36,"Si Me Dices Que Sí",Reik,10883,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
37,"La Santa","Bad Bunny",10737,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
38,Detente,"Mike Bahía",10632,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
39,Vete,"Bad Bunny",10508,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
40,"BYE ME FUI","Bad Bunny",10435,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
41,"El Mismo Aire - con Pablo Alborán",Camilo,10295,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
42,"El Efecto - Remix","Rauw Alejandro",10204,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
43,"Roses - Imanbek Remix","SAINt JHN",10163,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
44,"CANCIÓN CON YANDEL",Yandel,10087,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
45,China,"Anuel AA",9896,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
46,Tutu,Camilo,9807,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
47,"Bajo La Mesa",Morat,9760,https://open.spotify.com/track/7BEPdOI0neT6p7PnLViqmH
48,"A Tu Merced","Bad Bunny",9518,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
49,"Bellaquita - Remix",Dalex,9168,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
50,"TKN (feat. Travis Scott)",ROSALÍA,8997,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
51,Blanco,"J Balvin",8711,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
52,"death bed (coffee for your head)",Powfu,8621,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
53,Callaita,"Bad Bunny",8404,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
54,"Pa' Olvidarme De Ella","Piso 21",8301,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
55,Quizas,"Rich Music LTD",8199,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
56,Negro,"J Balvin",8190,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
57,"Break My Heart","Dua Lipa",8074,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
58,PAM,"Justin Quiles",8056,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
59,"La Bella y la Bestia",Reik,8027,https://open.spotify.com/track/0G0p7mc4wEaQTsUpzEmkEs
60,Djadja,"Aya Nakamura",8027,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
61,"Loco - Remix",Farruko,7849,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
62,ADMV,Maluma,7741,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
63,Desconocidos,"Mau y Ricky",7728,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
64,"La Forma en Que Me Miras","Super Yei",7693,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
65,Destino,Greeicy,7671,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
66,"PA' ROMPERLA","Bad Bunny",7667,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
67,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",7661,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
68,TBT,"Sebastian Yatra",7445,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
69,"La Difícil",Camilo,7410,https://open.spotify.com/track/6fNJm8sYmCBbmkKpKgTReA
70,MAMACITA,"Black Eyed Peas",7370,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
71,"Fantasias - Remix","Rauw Alejandro",7289,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
72,"Fútbol & Rumba (feat. Enrique Iglesias)","Anuel AA",7181,https://open.spotify.com/track/2hDe0Ls5mVqs1XJqv7sbcM
73,"Dream Girl - Remix","Ir Sais",7118,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
74,"RITMO (Bad Boys For Life)","Black Eyed Peas",6960,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
75,"Te Vi","Piso 21",6829,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
76,Confía,Sech,6792,https://open.spotify.com/track/5kbps8unnGH4raN5WduZuq
77,"QUE PRETENDES","J Balvin",6774,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
78,"11 PM",Maluma,6731,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
79,"Adicto (with Anuel AA & Ozuna)",Tainy,6721,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
80,Indeciso,Reik,6673,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
81,"Soltera - Remix",Lunay,6635,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
82,"Djadja (feat. Maluma) - Remix","Aya Nakamura",6614,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
83,"La flaca","Jarabe De Palo",6611,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
84,"Si Te Vas",Sech,6600,https://open.spotify.com/track/2aGN6PplBq0xigh2lmqLbw
85,Muévelo,"Nicky Jam",6571,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
86,"No Te Vayas",Camilo,6512,https://open.spotify.com/track/1q1sjzJpUYEkTbA9Uz0qrU
87,"Una Vida Para Recordar","Piso 21",6496,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
88,Girl,"Myke Towers",6471,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
89,"Tal Vez","Paulo Londra",6450,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
90,"El Mismo Aire",Camilo,6404,https://open.spotify.com/track/3a29UVSEIj6x3YcfKs2rdi
91,Definitivamente,"Daddy Yankee",6397,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
92,"ily (i love you baby) (feat. Emilee)","Surf Mesa",6324,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
93,Gris,"J Balvin",6203,https://open.spotify.com/track/1syf62zw48zu4FrPwMtDHk
94,"Toosie Slide",Drake,6117,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
95,"Otro Trago - Remix",Sech,6079,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
96,"Rain On Me (with Ariana Grande)","Lady Gaga",5882,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
