,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,7185,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
57,"Look At Me!",XXXTENTACION,7178,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
58,"Everybody Dies In Their Nightmares",XXXTENTACION,6886,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
59,"The Middle",Zedd,6656,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
60,Primo,"RAF Camora",6557,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
61,"Baba Flow","Capital Bra",6516,https://open.spotify.com/track/7hVuXbbbRRTDDOBXeAlz2u
62,Paradise,"George Ezra",6496,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
63,"In My Blood","Shawn Mendes",6434,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
64,Crew,"Summer Cem",6392,https://open.spotify.com/track/60dwXI7J8r49PVhg1sOS1x
65,"lovely (with Khalid)","Billie Eilish",6341,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",6309,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
67,"God's Plan",Drake,6285,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
68,"Start Again (feat. Logic)",OneRepublic,6283,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
69,2002,Anne-Marie,6215,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
70,"rockstar (feat. 21 Savage)","Post Malone",6205,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
71,"Zusammen feat. Clueso","Die Fantastischen Vier",6196,https://open.spotify.com/track/35Ma4j9sPWhUAJ471naHV3
