,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,"Ar-Condicionado No 15 - Ao Vivo","Wesley Safadão",113279,https://open.spotify.com/track/5ac0YTpOaDX9wEYYyGCglL
52,"Você Não Vale Nada","Zé Felipe",112091,https://open.spotify.com/track/6EFIK4B0jrvLO096QYEhnX
53,Contrário,"Jonas Esticado",110182,https://open.spotify.com/track/76NzI3TmJCAvw28nB3EGk2
54,"Fica Tudo Bem (feat. Anitta)",Silva,109726,https://open.spotify.com/track/3gvqZpohrsWFwGH1IoFK5b
55,Sober,"Demi Lovato",109280,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
56,changes,XXXTENTACION,106575,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
57,"Beijo Com Trap","Hungria Hip Hop",106433,https://open.spotify.com/track/37LmF3FHmdMQErxJJUQaSd
58,"Solo (feat. Demi Lovato)","Clean Bandit",106221,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
59,"3 Dias Virado","Mc IG",105947,https://open.spotify.com/track/4uD7ypL7pDmOiMiVX6TCCa
60,"Estranho - Ao Vivo | Acústico","Marília Mendonça",105708,https://open.spotify.com/track/4NFqlsk3yQn7DULU8OGnfP
61,"Better Now","Post Malone",104141,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
62,"Agora Vai Sentar","MC's Jhowzinho & Kadinho",102576,https://open.spotify.com/track/0pDaqgIForVNO4jrtTxcWT
63,"Juramento do Dedinho","Mano Walter",102405,https://open.spotify.com/track/0lCmp1Mws7I9K4a0OAgces
64,"rockstar (feat. 21 Savage)","Post Malone",100872,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
65,IDGAF,"Dua Lipa",100716,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
66,"Raspão (feat. Simone & Simaria) - Ao Vivo","Henrique & Diego",99841,https://open.spotify.com/track/6gquljDBW7rE6mCBzmTRxo
67,"Back To You","Selena Gomez",99459,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
68,"De Copo Em Copo - Ao Vivo","George Henrique & Rodrigo",99271,https://open.spotify.com/track/1wgD52FywIwdnLdV2Fa8NK
69,"Pra você acreditar - Ao vivo",Ferrugem,98203,https://open.spotify.com/track/5KNi9XFap48ry4puG7rvqv
70,"Tem Café",Gaab,98078,https://open.spotify.com/track/4lNriuYNZD2YP2OPG6xOte
71,"Shape of You","Ed Sheeran",98023,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
72,"Jocelyn Flores",XXXTENTACION,98005,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
73,"Fica - Bonus Track",ANAVITÓRIA,97846,https://open.spotify.com/track/1qDZnViQgUItsMpWLVwfGb
74,"Azul Piscina","Mc Livinho",97344,https://open.spotify.com/track/7ieFtgZBYSC94nGs5yF0Wk
75,Believer,"Imagine Dragons",93577,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
76,"A Mala É Falsa - Ao Vivo","Felipe Araújo",93543,https://open.spotify.com/track/6BPt2sVRvE41rUixcCAHY6
77,"Permanecer (feat. MC G15)","Lucas Lucco",92097,https://open.spotify.com/track/3sIMCkwUZbQbWeNOTG3ET4
78,"Ginga (Participação especial de Rincon Sapiência)",IZA,90930,https://open.spotify.com/track/1QqIcxyTz2G7I31wcrnERf
79,"Ocean (feat. Khalid)","Martin Garrix",89716,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
80,FRIENDS,Marshmello,87652,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
81,"Golpe Baixo (feat. Gusttavo Lima) - Ao Vivo","Rob Nunes",86929,https://open.spotify.com/track/3LlXUrhTGnRLnuoE2zuMRC
82,"Amor Falso","Wesley Safadão",86822,https://open.spotify.com/track/1n36knZX4bQ6FvcNEISVe9
83,"Poesia Acústica #3: Capricorniana","Pineapple StormTv",86709,https://open.spotify.com/track/1YUWhlQjFv7MQpcbb77zTL
84,Transplante,"Marília Mendonça",86601,https://open.spotify.com/track/6uyMtLQXZ8amkLyv5l7F7O
85,Moonlight,XXXTENTACION,86555,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
86,Downtown,Anitta,85540,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
87,"Quem Ensinou Fui Eu","Maiara & Maraisa",84649,https://open.spotify.com/track/1mBx8G3GBajrV0eTeYQshc
88,"New Rules","Dua Lipa",84443,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
89,"Não Se Apaixona","Jerry Smith",83049,https://open.spotify.com/track/0r9tHLACmVGOXxsVRGvA3U
90,"Menina Braba","Jerry Smith",82968,https://open.spotify.com/track/2caWIcrS6CLQDB5WglieeA
91,"Jackie Chan",Tiësto,81586,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
92,"Bebida Na Ferida - Ao Vivo","Zé Neto & Cristiano",81532,https://open.spotify.com/track/3HEb6Y5dv8PgD6JgsIQNac
93,"Havana (feat. Young Thug)","Camila Cabello",81390,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
94,APESHIT,"The Carters",78532,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
95,"Solta a batida",Ludmilla,78097,https://open.spotify.com/track/4yjljBusKH0hgsIzHlF85T
96,"4 da manhã",UM44K,77931,https://open.spotify.com/track/5xVJU6DJHnmHnbbKS56yCC
97,Paralisa,"MC Loma e As Gêmeas Lacração",76598,https://open.spotify.com/track/4G1i3FrLYRge4Z2ubJiOW3
98,"MC Lençol e DJ Travesseiro","Luan Santana",76010,https://open.spotify.com/track/2ozsutWRgcaZKJsQ6DvFFv
99,"DDU-DU DDU-DU",BLACKPINK,75947,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB
100,"I Like It","Cardi B",75808,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
101,"Se é pra Gente Ficar (feat. Wesley Safadão)","Solange Almeida",75663,https://open.spotify.com/track/6X5jBkAFu7HE3jigdoVW3r
102,Ladrão,"Naiara Azevedo",75514,https://open.spotify.com/track/2b9irL6QwOdbjJJldQoUOK
103,"Ritmo do Pam Pam","MC Rafa 22",75140,https://open.spotify.com/track/0xLt187K4MEhKIxqiNALNN
104,"O Corre","Cynthia Luz",75087,https://open.spotify.com/track/3RyyUWNovCdqfHwyDaSPvO
105,"Born To Be Yours",Kygo,75023,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
106,Sunshine,"Cat Dealers",74538,https://open.spotify.com/track/36wm1WBVArEbnIgtkT3abj
107,"Meu Amor - Ao Vivo","Henrique & Juliano",74330,https://open.spotify.com/track/3X5zRkzlpTiajlkI9QXQUz
108,"Poesia Acústica #2: Sobre Nós",Delacruz,73965,https://open.spotify.com/track/6HaTYIUKd8SzdvGOfutBRD
109,"Regime Fechado - Ao Vivo","Simone & Simaria",73589,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n
110,"Pouca Pausa",Clau,73046,https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
111,"Não encosta",Ludmilla,73005,https://open.spotify.com/track/3TLik0AUo5Ri65DFrEivd4
112,"Deixa (feat. Ana Gabriela)",Lagum,72988,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp
