,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Raske Briller","Nicolay Ramm",130776,https://open.spotify.com/track/5lwU311GwiiWBhcXrdy1R4
2,Shallow,"Lady Gaga",118307,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,"Don't Call Me Up",Mabel,94745,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
4,"SAS PLUS / SAS PUSSY",Karpe,87591,https://open.spotify.com/track/1atrCmFrGEN5QvjoEWFRHo
5,"On My Way","Alan Walker",84607,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
6,"So Am I","Ava Max",81864,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
7,Sucker,"Jonas Brothers",79675,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
8,"7 rings","Ariana Grande",74878,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
9,"Always Remember Us This Way","Lady Gaga",72048,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
10,"Last Hurrah","Bebe Rexha",70842,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
11,"Sweet but Psycho","Ava Max",65541,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
12,"Let Me Down Slowly","Alec Benjamin",60755,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
13,"Spirit in the Sky",KEiiNO,60587,https://open.spotify.com/track/7B7O5jgFpWfc9orZw6FN4K
14,"bury a friend","Billie Eilish",59994,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
15,Obsessed,Dynoro,59836,https://open.spotify.com/track/4rTZbEQtDtlZZW1Ag9Umbk
16,"Kind Of Love","Rat City",56213,https://open.spotify.com/track/0Tv9DumSM7K9v4EME1XdsC
17,"Lay By Me",Ruben,56207,https://open.spotify.com/track/4l6boTiX3Erh3HYpKOa0D6
18,"Better When You're Gone","David Guetta",56008,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
19,"Giant (with Rag'n'Bone Man)","Calvin Harris",56004,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
20,STFU,"Julie Bergan",53756,https://open.spotify.com/track/4MY1amv4MW0wyH5vqB89vk
21,"break up with your girlfriend, i'm bored","Ariana Grande",52323,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
22,Wow.,"Post Malone",50308,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
23,"Be Alright","Dean Lewis",49629,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
24,"Without Me",Halsey,48579,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
25,"Lost Control","Alan Walker",47711,https://open.spotify.com/track/0lG6QM1jjbbX5UUn3DPmrZ
26,"Diamond Heart","Alan Walker",47620,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0
27,"Dancing With A Stranger (with Normani)","Sam Smith",46241,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
28,Balkong,"Unge Ferrari",45809,https://open.spotify.com/track/6sWtJNUxC5SYEKQ0zFGeNT
