,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MELHOR OU PIOR",WUANT,45318,https://open.spotify.com/track/14k0poH7ibLhg4kz4PGKSJ
2,Hawái,Maluma,31630,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
3,"Mood Swings (feat. Lil Tjay)","Pop Smoke",31050,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
4,"Mood (feat. iann dior)",24kGoldn,30998,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Watermelon Sugar","Harry Styles",30256,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
6,"Oh Juliana",Niack,30218,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
7,"Blinding Lights","The Weeknd",26584,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"Comprei um Lança","Mc Jacaré",25513,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
9,"WAP (feat. Megan Thee Stallion)","Cardi B",25093,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,"Breaking Me",Topic,25060,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,24841,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
12,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",23384,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",22543,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,Fica,Domingues,22387,https://open.spotify.com/track/5x2NQmYWyqExdyyXjNIWh3
15,"Savage Love (Laxed - Siren Beat)","Jawsh 685",22183,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
16,"Laugh Now Cry Later (feat. Lil Durk)",Drake,22132,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
17,"Desce Pro Play (PA PA PA)","Mc Zaac",22074,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
18,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",21319,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
19,"Te Amo",Calema,20772,https://open.spotify.com/track/5QU2pHpvyaiTZ0E7cJYlq3
20,"Te gusta","MC Kevinho",20164,https://open.spotify.com/track/0h5iRD8nlDtcn4rwbZzNgg
21,"Vai Ter Que Aguentar","Mc Don Juan",19542,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
22,Festa,"David Carreira",18805,https://open.spotify.com/track/3rkMxMg4S5GhBtQtAdj5z2
23,"menina solta","Giulia Be",18756,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
24,Flores,Vitão,18588,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
25,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",18401,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
26,"TKN (feat. Travis Scott)",ROSALÍA,18026,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
27,"Roses - Imanbek Remix","SAINt JHN",17757,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
28,"Tempo (feat. T-Rex, LON3R JOHNY & BISPO)",FRANKIEONTHEGUITAR,17531,https://open.spotify.com/track/19gFXFDAFUdsuaiAorKEbr
29,MAMACITA,"Black Eyed Peas",17097,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
30,"Jerusalema (feat. Nomcebo Zikode)","Master KG",16636,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
31,"Toosie Slide",Drake,15834,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
32,"POPSTAR (feat. Drake)","DJ Khaled",15827,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
33,Dynamite,BTS,15657,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
34,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",14656,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
35,Tusa,"KAROL G",14601,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
36,"Party Girl",StaySolidRocky,14488,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
37,"Blueberry Faygo","Lil Mosey",14296,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
38,Heather,"Conan Gray",13065,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
39,"Don't Start Now","Dua Lipa",12610,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
40,Conclusão,"Julinho Ksd",12492,https://open.spotify.com/track/3POu1ffLnehBhpNGuaaOG3
41,Louco,Piruka,12174,https://open.spotify.com/track/5RPewmKIUL2vWtQLI0Qp1F
42,"Dpos D' Quarentena","Nelson Freitas",11938,https://open.spotify.com/track/12ZlD9aYWAvT6JtD50rG2q
43,"Somos Iguais",Plutónio,11696,https://open.spotify.com/track/1X3ltingEVNGRoJf1dvZfQ
44,Resort,"Chico da Tina",11621,https://open.spotify.com/track/70iHFwCFlTVsWYiH6ZGjGX
