,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",24914,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
2,Starboy,"The Weeknd",20407,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
3,"Say You Won't Let Go","James Arthur",18749,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
4,Sexual,NEIKED,18662,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
5,"All Night","The Vamps",16781,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0
6,Closer,"The Chainsmokers",16423,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
7,"Don't Wanna Know","Maroon 5",16287,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
8,"Call On Me - Ryan Riback Extended Remix",Starley,15645,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
9,"Just Hold On","Steve Aoki",15182,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
10,"One Dance",Drake,14813,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
11,"By Your Side","Jonas Blue",13794,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
12,"I Would Like","Zara Larsson",13626,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
13,Touch,"Little Mix",13515,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
14,"Black Beatles","Rae Sremmurd",13391,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,13324,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
16,"24K Magic","Bruno Mars",13198,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
17,"I Feel It Coming","The Weeknd",13179,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
18,"Let Me Love You","DJ Snake",13149,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
19,"The Mack",Nevada,12638,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
20,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",12442,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
21,"Now and Later","Sage The Gemini",12251,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS
22,"Shout Out to My Ex","Little Mix",12007,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
23,Human,"Rag'n'Bone Man",10929,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
24,Starving,"Hailee Steinfeld",10725,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
25,"Fake Love",Drake,10678,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
26,"Side To Side","Ariana Grande",10654,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
27,"Love Me Now","John Legend",10551,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",10368,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
29,"My Way","Calvin Harris",10086,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
30,Mercy,"Shawn Mendes",9599,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
31,"Water Under the Bridge",Adele,9542,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
