,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Adan y Eva","Paulo Londra",132619,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
2,"MIA (feat. Drake)","Bad Bunny",98325,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",94709,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
4,"Ella Quiere Beber - Remix","Anuel AA",93615,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
5,"Cuando Te Besé","Becky G",86482,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
6,Desconocidos,"Mau y Ricky",85184,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
7,Bubalu,"Becky G",84060,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
8,Culpables,"KAROL G",79571,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
9,Adictiva,"Daddy Yankee",75075,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
10,"Vaina Loca",Ozuna,72586,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
11,BEBE,6ix9ine,70361,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
12,Reggaeton,"J Balvin",70195,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
13,"Calma - Remix","Pedro Capó",69591,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
14,"Amigos Con Derechos",Reik,68276,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
15,Créeme,"KAROL G",67615,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
16,"Ya No Tiene Novio","Sebastian Yatra",62050,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
17,Imposible,"Luis Fonsi",59925,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
18,"Mala Mía",Maluma,56259,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
19,"Asesina - Remix",Brytiago,50684,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
20,Amanece,"Anuel AA",45909,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
21,"Te Boté - Remix","Nio Garcia",44948,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
22,PPP,"Kevin Roldan",44475,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
23,"No Es Justo","J Balvin",43411,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
24,"Quiere Beber","Anuel AA",42710,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
25,"Puntos Suspensivos","Piso 21",42591,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
26,"Por Perro","Sebastian Yatra",42439,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
27,"thank u, next","Ariana Grande",39584,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
28,Hipócrita,"Anuel AA",39516,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
29,"Chica Paranormal","Paulo Londra",37706,https://open.spotify.com/track/7zAGi1cps7yYhAajGXlFTH
30,"Duro y Suave","Leslie Grace",35850,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
31,Ibiza,Ozuna,35675,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
32,"Sin Pijama","Becky G",35312,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
33,"La player (Bandolera)","Zion & Lennox",34216,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
34,Déjalo,Nacho,33717,https://open.spotify.com/track/4VTTpwcAxVSQNzEZLi75d0
35,"Nena Maldición (feat. Lenny Tavárez)","Paulo Londra",33111,https://open.spotify.com/track/2aMVyJSuDFFL1sTjJnvk7X
36,"Solo de Mi","Bad Bunny",32751,https://open.spotify.com/track/5YOkA7qd2983FtBQnP8sYx
37,"No Me Acuerdo",Thalia,32232,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O
38,"Adiós Amor","Daniela Darcourt",32019,https://open.spotify.com/track/2ozv99MuHIaE4DZIzAr59q
39,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",31422,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
40,"Te Amo","Piso 21",31126,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
41,"Está Rico","Marc Anthony",29557,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
42,Amantes,Greeicy,29090,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
43,"Mocca - Remix","Lalo Ebratt",26854,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA
