,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"rockstar (feat. 21 Savage)","Post Malone",2606,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
58,SAD!,XXXTENTACION,2534,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
59,"Red Room",Offset,2494,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
60,"Bohemian Rhapsody - Remastered 2011",Queen,2472,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
61,Talk,Khalid,2465,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
62,"no tears left to cry","Ariana Grande",2446,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
63,"Who Do You Love","The Chainsmokers",2427,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
64,"Old Town Road","Lil Nas X",2418,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
65,Replay,Tamta,2397,https://open.spotify.com/track/2UOyQB26wSQzM0jiTcUg50
66,"Ολα Τα Chains (feat. Dj Silence)",Light,2372,https://open.spotify.com/track/07ZomW9LLZEOmsQ4Vcih8q
67,lovely,"Billie Eilish",2349,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
68,Nonstop,Drake,2318,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
69,"MIA (feat. Drake)","Bad Bunny",2300,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
70,Splashin,"Rich The Kid",2295,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
71,Patience,"Tame Impala",2285,https://open.spotify.com/track/2drEUEg0TYQR6dDEHkpuPE
72,"a lot","21 Savage",2280,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
73,"So Am I","Ava Max",2233,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
74,365,Zedd,2227,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
75,"Paranoia - Eime Enas Allos - 2019 Panik Version","Nino Xypolitas",2212,https://open.spotify.com/track/6gBeMltFbDXHGRfHRm2I7i
76,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",2211,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
77,Mana,"Sin Boy",2200,https://open.spotify.com/track/6SB46U6zjnIA5sgEGTFyV3
78,"Eastside (with Halsey & Khalid)","benny blanco",2198,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
79,"Wow. - Remix","Post Malone",2190,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
80,"KONTRA / LOUMIDIS",iLLEOo,2181,https://open.spotify.com/track/3TDSZ8tNk895DgIM7RlSWh
81,Kinitro,"Mad Clip",2180,https://open.spotify.com/track/75LKhuJQZbT0cudT1e38y8
82,Egklimatias,"Sin Boy",2173,https://open.spotify.com/track/0fJeWRTOW4fd4R1KKbGAQW
83,Money,"Cardi B",2144,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
84,Moonlight,XXXTENTACION,2133,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
85,"Say My Name","David Guetta",2129,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
86,Freaky,"Tory Lanez",2107,https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV
87,"I Like It","Cardi B",2099,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
88,2002,Anne-Marie,2085,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
89,Youngblood,"5 Seconds of Summer",2084,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
90,"Taste (feat. Offset)",Tyga,2062,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
91,"High Hopes","Panic! At The Disco",1997,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
92,Keef,iLLEOo,1978,https://open.spotify.com/track/6bY6dH41XY2EDvXsIGLT7J
93,Undrunk,FLETCHER,1975,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
