,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,GOOBA,6ix9ine,6959,https://open.spotify.com/track/6qiiDtFAJjyEhoZVcf6ovL
58,Hvězdáři,Kryštof,6889,https://open.spotify.com/track/4xJP2rJHIJXfxpIpzxhhIA
59,"death bed (coffee for your head)",Powfu,6839,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
60,Sladká,Dorian,6743,https://open.spotify.com/track/53babpnCbhRGyme9RPksyf
61,goosebumps,"Travis Scott",6712,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
62,"POPSTAR (feat. Drake)","DJ Khaled",6620,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
63,"Take You Dancing","Jason Derulo",6548,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
64,"Blueberry Faygo","Lil Mosey",6483,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
65,"Tak se nezlob","Marek Ztraceny",6420,https://open.spotify.com/track/2c1bi72Up6wiYxDn49CFdD
66,"Teorie pádu",STEIN27,6417,https://open.spotify.com/track/5rv2HF2yCItB1KMEhBahxI
67,"Break My Heart","Dua Lipa",6402,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
68,Mráz,"Viktor Sheen",6386,https://open.spotify.com/track/6MlldqBpDJty0FAqJOi8EY
69,Señorita,"Shawn Mendes",6299,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
70,"Zijeme len raz",Ego,6265,https://open.spotify.com/track/0STHJtR9k80lQprMIxAasD
71,Tsunami,"DIVOKEJ BILL",6255,https://open.spotify.com/track/5op1X8TfWNUmJnwRzCQ3qL
72,"Cizí zeď","ONEMANSHOW Foundation",6252,https://open.spotify.com/track/7nLZ336nDC44S0CCXcCBJm
73,"Zatancuj si so mnou","Adam Ďurica",6246,https://open.spotify.com/track/3lmWugmDLOLAf6f09EnZ4N
74,Hotel,STEIN27,6184,https://open.spotify.com/track/5WiwekdTgMYXq40FMgPJWP
75,Hollywood,"LA Vision",6162,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
76,Neviditelnej,Kontrafakt,6125,https://open.spotify.com/track/0wXZP3xs4b7vAFymzoENz1
77,"Never Let Me Down",VIZE,6120,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
78,"Wishing Well","Juice WRLD",6114,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
79,Robbery,"Juice WRLD",6060,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
80,Aleiaio,"Ben Cristovao",6049,https://open.spotify.com/track/4fUCTv421fKbSRFKuPi6ge
81,"Do Pěti",Ektor,6040,https://open.spotify.com/track/1YFu3F7SpwRTdGTt56u9O4
82,"Když nemůžeš, tak přidej",Mirai,6039,https://open.spotify.com/track/7DdwITgxQe8MST37qt4t2q
83,"Nik Tendo - Scale To Fit",Yzomandias,5964,https://open.spotify.com/track/1fFIknTF8kfYEHNqcs46Yv
84,"Není Limit","Nik Tendo",5892,https://open.spotify.com/track/0csb0C9E7UGW7Yfi52wGPW
85,"Fotbal a Rap",Labello,5882,https://open.spotify.com/track/1rNCFrpdHBD32kHmuEfMgM
86,"Toto Leto",Sima,5865,https://open.spotify.com/track/1x7dZO2T89GTea6Rh9FVZa
87,RÁJ,Decky,5835,https://open.spotify.com/track/49HB2EjRtkmXZAKpu3OdKT
88,"Laugh Now Cry Later (feat. Lil Durk)",Drake,5823,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
89,Shallow,"Lady Gaga",5797,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
90,"Smile (with The Weeknd)","Juice WRLD",5686,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
91,"Každý ráno",Chinaski,5674,https://open.spotify.com/track/3qe8nGycGxqKBPEeUIkBsH
92,Sedm,"Nik Tendo",5632,https://open.spotify.com/track/7Kk3JdKFFQv1YN2hluyx1J
93,Hranice,Ektor,5625,https://open.spotify.com/track/4EPelmX1wjCWn6gr4kx9Ez
94,"Mala dama",Kabát,5609,https://open.spotify.com/track/0nVCQoIiDjnZWXHMRCD2Ko
95,"Don't Start Now","Dua Lipa",5600,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
96,"Some Say - Felix Jaehn Remix",Nea,5583,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
97,Falling,"Trevor Daniel",5563,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
98,"You're Somebody Else","flora cash",5536,https://open.spotify.com/track/6iWEhoALoBFnQMNVhYY0Sc
99,ØTCHI,Mirai,5529,https://open.spotify.com/track/71BCQXb4lj0inm0cisGa3M
100,Málem,Wesome,5502,https://open.spotify.com/track/05TV8Lt7t6bC3nLlpsoSkD
101,"Silny refren","Horkýže Slíže",5493,https://open.spotify.com/track/6wnc03soJZURZVtyAbK81X
102,Díky,Rest,5466,https://open.spotify.com/track/3UJKcvUrCRCL4YqgagK9xJ
103,"Lose Somebody",Kygo,5351,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
104,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",5332,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
105,"Hraješ Si Na Co","Nik Tendo",5327,https://open.spotify.com/track/38MzzUKqzNhAM9EoUTbsfM
106,"HIGHEST IN THE ROOM","Travis Scott",5320,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
107,"Dopis V lahvi",Earth,5271,https://open.spotify.com/track/6jNTXE2Q1iks09h7PetAwR
108,"Černobílej svět","Viktor Sheen",5270,https://open.spotify.com/track/49yeFC92MyOcVU8tiit4wj
109,"BUDE LÍP","Milion Plus",5268,https://open.spotify.com/track/1HURVedroTlzswJbtfbVEh
110,Believer,"Imagine Dragons",5268,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
111,Kolaps,"CA$HANOVA BULHAR",5195,https://open.spotify.com/track/2aY1NJitfGnPDq54r34et3
112,"Na Chvíli","Nik Tendo",5195,https://open.spotify.com/track/328Cr2ztwoeLCGvJIJH64p
113,"Nemám dost (feat. Indigo & KOJO)",Calin,5191,https://open.spotify.com/track/7D2sgT3LkRnl6I7hunrsoj
114,"High Hopes","Panic! At The Disco",5149,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
115,"Someone To You",BANNERS,5136,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
116,"In Your Eyes","The Weeknd",5120,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
117,"Láska a data",Chinaski,5110,https://open.spotify.com/track/6Gpa8kQw5Zi657IsB83EQz
118,Descent,STEIN27,5094,https://open.spotify.com/track/6fb0vs074TkEOfEiyD3KeE
119,"Godzilla (feat. Juice WRLD)",Eminem,5052,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
120,"The Box","Roddy Ricch",5052,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
121,Víno,Chinaski,5047,https://open.spotify.com/track/7m3A7nJjioOGQdmztQBgo7
122,"Be Kind (with Halsey)",Marshmello,5044,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
123,"Party Girl",StaySolidRocky,5039,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
124,"What's Love Got to Do with It",Kygo,4999,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW
125,"Slibuju, Že Nebudu Pít","Rybičky 48",4975,https://open.spotify.com/track/24Uo7TSYjcxJjMFXalr9fN
126,"Za 100 let",Za100let,4948,https://open.spotify.com/track/7t2zn6Wl0SVnMOdtZlf8qS
127,"Neonový město",Sensey,4937,https://open.spotify.com/track/2vIeHhvghc8dOgCie9p6Az
128,"Lose Control",MEDUZA,4917,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
129,"Highway to Hell",AC/DC,4913,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
