,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sydpå,Bro,101868,https://open.spotify.com/track/1lahfyqBPVvBIxf3XgmQmZ
2,"LA CRIMINAL",MellemFingaMuzik,69839,https://open.spotify.com/track/6GfqrsrHtwS9gUmZ6ZjPtu
3,"God's Plan",Drake,69134,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
4,SAD!,XXXTENTACION,67569,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",63771,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
6,Strapped,FOOL,62608,https://open.spotify.com/track/3o6VhtL6rH2rBzsN8XvfWg
7,FRIENDS,Marshmello,55058,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
8,"Love Lies (with Normani)",Khalid,53038,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
9,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,50979,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
10,Mine,Bazzi,48032,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
11,Langsom,Gilli,44661,https://open.spotify.com/track/5fQiM6oa6M00dBNNcS6pSc
12,"In My Blood","Shawn Mendes",43327,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
13,"For Mig Selv (feat. Gilli)",NODE,42863,https://open.spotify.com/track/1aeQAevfv8kyI3aiPlXjyl
14,"Zum Zum",ZK,40563,https://open.spotify.com/track/2lZEnKxY1v6wgR8ipQMwEI
15,"Freaky Friday (feat. Chris Brown)","Lil Dicky",39531,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
16,"Say Something (feat. Chris Stapleton)","Justin Timberlake",39118,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
17,IDGAF,"Dua Lipa",38771,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
