,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
86,"Y, ¿Si Fuera Ella? - + Es +","Pablo Alborán",38078,https://open.spotify.com/track/3E2m5w07LVxrViLqkSI5x5
87,"Bailame Despacio",Xantos,37621,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu
88,"Swish Swish","Katy Perry",37126,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
89,"Ahora Lloras Tú","Ana Mena",36961,https://open.spotify.com/track/7Fb8u1fxwY1XcRYXJ1tUL2
90,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,36822,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
91,"First Time",Kygo,36775,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
92,"Quédate Conmigo","Chyno Miranda",36292,https://open.spotify.com/track/0a9b4sUavOWgyc9jeScv7Y
93,"Bad Liar","Selena Gomez",36127,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
94,"No Promises (feat. Demi Lovato)","Cheat Codes",35822,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
95,"Mi tesoro (feat. Nicky Jam)","Zion & Lennox",35602,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa
96,"Mi Religión",Yandel,34393,https://open.spotify.com/track/2bdD0eYH8XirjVAXq68JAN
97,"Quiéreme (feat. Farruko)","Jacob Forever",34290,https://open.spotify.com/track/4sA0dk2U5tJiPYtx3ZrbIf
98,"Galway Girl","Ed Sheeran",33244,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
99,"Carita de buena","Efecto Pasillo",33145,https://open.spotify.com/track/62YL4H1dOpC6702x4i7VQS
100,"Hasta Que Se Seque el Malecón (feat. Farruko) - Remix","Jacob Forever",32589,https://open.spotify.com/track/6sMPwcpYtxm1mlgYbp1B0t
101,"Cómo Te Atreves",Morat,32166,https://open.spotify.com/track/2z0EshEO4XptiepEb9j3Og
102,"Bebé - Remix",Brytiago,31757,https://open.spotify.com/track/2jVJYU4X3aD8hlTco3MlsN
103,"Deja Que Te Bese","Alejandro Sanz",31236,https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga
104,"Antes de Morirme (feat. Rosalía)","C. Tangana",31137,https://open.spotify.com/track/7aFBy1CBLGnZE1Iv6TvEZE
105,"Déjame te explico",Reykon,31125,https://open.spotify.com/track/7jzpAD8q77nwEmSsqUeUjy
106,"Borro Cassette",Maluma,30826,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
107,"No Vacancy (with Sebastián Yatra)",OneRepublic,29824,https://open.spotify.com/track/3Gqj86AgnD8EiIOFIGLubs
108,"Versace on the Floor (Bruno Mars vs. David Guetta)","Bruno Mars",29738,https://open.spotify.com/track/5UJshy5HDHdNEVqlJwzsQB
109,"Si Tu Novio Te Deja Sola","J Balvin",29552,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
110,Bailarina,"Maldita Nerea",29515,https://open.spotify.com/track/4JF79kvgjBfb3hwWyeLyR8
