,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Wolke 10",MERO,126955,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2
58,"All This Love (feat. Harlœ)","Robin Schulz",126383,https://open.spotify.com/track/0nxYyX5PIHJqF4VSb4CIFV
59,Prinzessa,"Capital Bra",125805,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
60,Harami,Samra,123903,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug
61,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",123816,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
62,"Never Really Over","Katy Perry",118898,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
63,"500 PS","Bonez MC",118679,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
64,DNA,"KC Rebell",117869,https://open.spotify.com/track/43DtCXAz2qUJ4YiTX6ICT0
65,"Michel Vaillant",Veysel,117294,https://open.spotify.com/track/0Jsk2j8PiNWMQN1EymsLAU
66,Narcotic,Younotus,115588,https://open.spotify.com/track/7M9w4C8WenlvWfNRAulZOX
67,"Blackberry Sky",Eno,114799,https://open.spotify.com/track/11rBlJlRoWNj69twOOki03
68,DEUTSCHLAND,Rammstein,114639,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
69,"Sweet but Psycho","Ava Max",114345,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
70,"Alles was sie will","Kontra K",112684,https://open.spotify.com/track/6kmpeu6dXy6DPjOHv3NAeT
71,"Hardcore High",Juju,112673,https://open.spotify.com/track/4qX18Am6dJZg0ovgddL7w6
72,"Bad Liar","Imagine Dragons",111130,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
73,"In My Mind",Dynoro,110610,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
74,Sixteen,"Ellie Goulding",109889,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
75,Heaven,Avicii,108839,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
76,"Wir ticken","Capital Bra",108014,https://open.spotify.com/track/1ag6DENIjtcmRFCx5JjUng
77,"Ich müsste lügen",Juju,107972,https://open.spotify.com/track/5utzD9p8vqF0OJ5iPHmiAR
78,"Bye Bye","Capital Bra",106891,https://open.spotify.com/track/60yqRJXgkrPEvP977ZIOWb
79,"The London (feat. J. Cole & Travis Scott)","Young Thug",106873,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
80,"What I Like About You (feat. Theresa Rex)","Jonas Blue",106345,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
81,Affalterbach,Shindy,106022,https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw
82,"Haute (feat. J Balvin & Chris Brown)",Tyga,104911,https://open.spotify.com/track/1jlnBQGP2DtSEhMgQaz7a7
83,Ghetto,Samra,104478,https://open.spotify.com/track/5h10tw9LYCWPFgqJttM2U0
84,"No Guidance (feat. Drake)","Chris Brown",103687,https://open.spotify.com/track/7FEwp8BavoEVE3AnxJDchc
85,"Open Up","Matt Simons",103685,https://open.spotify.com/track/7KgqURVRaVhqgyKno2mc1D
86,"Bittersweet Symphony (feat. Emily Roberts)","GAMPER & DADONI",103474,https://open.spotify.com/track/6sYJuVcEu4gFHmeTLdHzRz
87,"Brot nach Hause","Apache 207",102745,https://open.spotify.com/track/5e0bzcsI1khimLSJhddHdS
88,Quarterback,"KC Rebell",102412,https://open.spotify.com/track/0WGG3xWyW6AlXOaW6CHu4A
89,"Gib Ihm","SHIRIN DAVID",97165,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
90,"Sommer in Berlin",Juju,96887,https://open.spotify.com/track/3s5AjOPcxQDdfNoT9PbBGM
91,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,96741,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
92,Benzema,"Capital Bra",94884,https://open.spotify.com/track/0gyO8zq1Hw5GTQ33EXcc40
93,JAJA,Fero47,94025,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
94,"Puerto Rico",Fero47,93638,https://open.spotify.com/track/0ypCvaP431mEM6znlVHNRP
95,Chellam,Majoe,93623,https://open.spotify.com/track/2peLyxgJLUiCAksehkKJUq
96,"Later Bitches","The Prince Karma",93199,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9
97,Ticket,Seeed,92944,https://open.spotify.com/track/6frjeqCOrcb010qUtilQ0K
98,Shallow,"Lady Gaga",92803,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
99,Warnung,"Kontra K",92500,https://open.spotify.com/track/2FPkRkjYQ4S8g1gVBslCfU
100,Alleen,"KC Rebell",92479,https://open.spotify.com/track/0geta4Y77R76wvOVlGWnsl
101,"Live Bitch",Juju,92470,https://open.spotify.com/track/5uoAmXsrFAzALf4rex5jUZ
102,"High Hopes","Panic! At The Disco",90504,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
103,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,90224,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
104,Moonlight,Gaullin,89987,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
105,Sunpoint,Mert,89755,https://open.spotify.com/track/1aPhcTvYeDzkc55ZLk5ECs
106,"20 Tausend Euro Bar","Lil Lano",89735,https://open.spotify.com/track/7xNZ66DY1hCrhGTKr9kgB5
107,"All In",Azad,89697,https://open.spotify.com/track/54ttt7kRHmgCxr7gHsTwmI
108,"Gib Gas",Ufo361,89033,https://open.spotify.com/track/7MqL7uh6zGd8x0B9srz3r0
109,"Shoote ma Shoote",Samra,88865,https://open.spotify.com/track/7FOQJQcTDqzXZJ72hZikCl
110,"Let Me Down Slowly","Alec Benjamin",88592,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
111,Wow.,"Post Malone",87285,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
112,"Bella Donna","Pietro Lombardi",86833,https://open.spotify.com/track/3v9OYjvyB1tJ9sMrZIlfcz
113,"Fliegst Du mit","SHIRIN DAVID",86697,https://open.spotify.com/track/7d5OMedGbW3CZwFfiNMGeI
114,Next,Ufo361,86462,https://open.spotify.com/track/1x4MJYA9mJRph3fygU51K4
115,"Ohne Sinn","Sero El Mero",86081,https://open.spotify.com/track/7KO3iofeNz34vOQgSnKuU1
116,"So Am I","Ava Max",86044,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
117,"Speechless (feat. Erika Sirola)","Robin Schulz",85881,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
118,"Mother's Daughter","Miley Cyrus",85323,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
119,"La Libertad","Alvaro Soler",85311,https://open.spotify.com/track/3DsLBZjoU5AYxZXsepHtsW
120,"weR mAChT PaRA 2",Dardan,83811,https://open.spotify.com/track/2nvmHDiEWXRzS6FUDzUhVL
121,"7 rings","Ariana Grande",82512,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
122,"Baller los",MERO,82068,https://open.spotify.com/track/1uNzKXVNwq7jwV0rhjXqLB
123,"Bye Bye",Juju,80808,https://open.spotify.com/track/4x1I379N1wSkCb8xjerNv5
124,Casanova,"Summer Cem",80603,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
125,"Weiß noch nicht wie",Bausa,80425,https://open.spotify.com/track/6JEgz5rwcQb9Adx3EuEsos
126,AUSLÄNDER,Rammstein,79242,https://open.spotify.com/track/7j43FohbLVulScL7S9sQZk
127,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",79179,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
128,Stars,VIZE,78924,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet
129,"3% (feat. ENO)","Moe Phoenix",78774,https://open.spotify.com/track/2K2yh8b6EAP595unnz6Vel
130,Monster,LUM!X,78714,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
131,EFH,Shindy,78127,https://open.spotify.com/track/1fsaruaCPeyVquN9iQLHzX
132,"bury a friend","Billie Eilish",77839,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
