,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Sin Pijama","Becky G",1398,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
57,"Roll in Peace (feat. XXXTENTACION)","Kodak Black",1375,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
58,"This Is America","Childish Gambino",1354,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
59,2002,Anne-Marie,1306,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
60,"Havana (feat. Young Thug)","Camila Cabello",1294,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
61,"Love Lies (with Normani)",Khalid,1283,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
62,"XO Tour Llif3","Lil Uzi Vert",1260,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
63,"Jump (with Trippie Redd)","Julia Michaels",1260,https://open.spotify.com/track/2OvV4NjEBRE9v8Oo7QeUCq
64,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",1245,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
65,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1233,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
66,"FAKE LOVE",BTS,1214,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
67,"Mad Love","Sean Paul",1212,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
68,Thunder,"Imagine Dragons",1208,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
69,"Ball For Me (feat. Nicki Minaj)","Post Malone",1206,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
70,"Carry On",XXXTENTACION,1198,https://open.spotify.com/track/2yZax79pOrYuyIFVW2cZY2
71,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",1195,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
72,IDGAF,"Dua Lipa",1194,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
73,"All Girls Are The Same","Juice WRLD",1192,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
74,"New Rules","Dua Lipa",1189,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
75,"'Till I Collapse",Eminem,1188,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
76,"Bank Account","21 Savage",1181,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
77,"Remind Me to Forget",Kygo,1179,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
78,"More Than You Know","Axwell /\ Ingrosso",1168,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
79,"Let Me Down Slowly","Alec Benjamin",1163,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
