,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taste (Make It Shake)",Aitch,389218,https://open.spotify.com/track/1xPpYbCaJWonL7IFXPDjON
2,"Ladbroke Grove","AJ Tracey",357492,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
3,"Strike a Pose (feat. Aitch)","Young T & Bugsey",337735,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44
4,Circles,"Post Malone",331299,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"3 Nights","Dominic Fike",326378,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
6,Sorry,"Joel Corry",315772,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
7,Señorita,"Shawn Mendes",308050,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"Dance Monkey","Tones And I",288112,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,Ransom,"Lil Tecca",282101,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
10,"Higher Love",Kygo,282083,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
11,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",279572,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
12,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",276094,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
13,"Someone You Loved","Lewis Capaldi",271835,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"Beautiful People (feat. Khalid)","Ed Sheeran",268876,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,"How Do You Sleep?","Sam Smith",246327,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
16,"Ride It",Regard,245004,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
17,"Goodbyes (Feat. Young Thug)","Post Malone",239588,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
18,Both,"Headie One",239483,https://open.spotify.com/track/0SxjNrhMwarsbcgEy0pavJ
19,"Post Malone (feat. RANI)","Sam Feldt",229220,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
20,"So High (feat. Fredo)",MIST,228282,https://open.spotify.com/track/5aubXDnDNVKA5pS7EnR0mp
21,"Location (feat. Burna Boy)",Dave,209475,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
22,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",208788,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
23,Saint-Tropez,"Post Malone",208169,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
24,"Be Honest (feat. Burna Boy)","Jorja Smith",207906,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
25,"Professor X",Dave,207811,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi
26,"Wiley Flow",Stormzy,201086,https://open.spotify.com/track/1Iv4wC88uxeAF7SmQQGx3X
27,Outnumbered,"Dermot Kennedy",199090,https://open.spotify.com/track/6UjZ2Yx2g2a52XxiA8ONxZ
28,"I Don't Care (with Justin Bieber)","Ed Sheeran",198013,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
29,"boyfriend (with Social House)","Ariana Grande",185562,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
30,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",182538,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
31,"Hollywood's Bleeding","Post Malone",182514,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
32,"Vossi Bop",Stormzy,173953,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
33,"bad guy","Billie Eilish",169294,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
34,Nookie,"D-Block Europe",168558,https://open.spotify.com/track/141GIDaZBy7Bn3I2NAFR31
35,"Good as Hell",Lizzo,166938,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
36,Panini,"Lil Nas X",165324,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
37,"Mad Love",Mabel,160413,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
38,"Harder (with Bebe Rexha)","Jax Jones",159801,https://open.spotify.com/track/5RgBnDtHKFHgtVdqabjGE3
39,"fuck, i'm lonely",Lauv,158091,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
40,"No Guidance (feat. Drake)","Chris Brown",157721,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
41,"Truth Hurts",Lizzo,157416,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
42,Motivation,Normani,157172,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
43,Lalala,Y2K,154822,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
44,"Buss Down (feat. ZieZie)",Aitch,152816,https://open.spotify.com/track/584UC3Qpm8SbYd7aRWKREu
45,"Enemies (feat. DaBaby)","Post Malone",152122,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
46,"Wish You Well",Sigala,149702,https://open.spotify.com/track/1yAPglN5AGf7UoLK062ZYq
47,"Piece Of Your Heart",MEDUZA,145418,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
48,"Sounds of the Skeng",Stormzy,142394,https://open.spotify.com/track/7fuSDngvlH3PJs3MbKVWNu
49,"Die For Me (feat. Future & Halsey)","Post Malone",139828,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
50,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]","Ed Sheeran",139733,https://open.spotify.com/track/2nyTaLu3TTrSS6CAxR3z0b
51,"Hold Me While You Wait","Lewis Capaldi",128046,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
52,"Keisha & Becky - Remix","Russ Millions",120072,https://open.spotify.com/track/5wIjM4q7oIgiLqn8Qfoyxh
53,"Money In The Grave (Drake ft. Rick Ross)",Drake,115492,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
54,Liar,"Camila Cabello",112557,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
55,Castles,"Freya Ridings",111026,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
56,"Old Town Road - Remix","Lil Nas X",111009,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
57,"Thiago Silva",Dave,110804,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
58,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",108523,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
59,"A Thousand Bad Times","Post Malone",107782,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
60,Wow.,"Post Malone",104216,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
61,"Behind Barz - Bonus",Drake,103936,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
62,"Home P*ssy","D-Block Europe",103787,https://open.spotify.com/track/4QEMi9FXOolfFFlLFUIolw
63,Bruises,"Lewis Capaldi",100532,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
64,Lover,"Taylor Swift",98674,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
65,"Slide Away","Miley Cyrus",98536,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
66,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",92200,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
67,"Fashion Week (feat. AJ Tracey & MoStack)","Steel Banglez",91443,https://open.spotify.com/track/78KyOmqWmqLkQcXO1cA7MO
68,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",89679,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
69,"The London (feat. J. Cole & Travis Scott)","Young Thug",89211,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
70,"Hypersonic Missiles","Sam Fender",87419,https://open.spotify.com/track/6CltzquypraYIlWFp48m1O
71,Options,NSG,86909,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
72,"Mr. Brightside","The Killers",86210,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
73,"Will We Talk?","Sam Fender",85178,https://open.spotify.com/track/5g0HSob4PEq7M8blV6y70i
74,"You Need To Calm Down","Taylor Swift",84940,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
75,Shallow,"Lady Gaga",83220,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
76,Allergic,"Post Malone",81257,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
77,"Don't Call Me Up",Mabel,80650,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
78,"Guten Tag","Hardy Caprio",80451,https://open.spotify.com/track/0SErNy2An0gCpYFRUNWwNT
79,"Staring At The Sun (feat. SZA)","Post Malone",79828,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
80,Crown,Stormzy,79628,https://open.spotify.com/track/1hxE8xAp7CrBsdpiRpiWFy
81,"The Borders","Sam Fender",79529,https://open.spotify.com/track/4hui0bX1Bv89yg1BTsz4NU
82,"I Could Get Used To This","Becky Hill",79295,https://open.spotify.com/track/6u8epWzzk3CsJ05sqExF6T
83,"Funky Friday",Dave,79143,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
84,Graveyard,Halsey,78872,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
85,Ritual,Tiësto,77499,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
