,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Ballin' (with Roddy Ricch)",Mustard,11536,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
58,"That Way - Bonus Track","Lil Uzi Vert",11216,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
59,"hot girl bummer",blackbear,11205,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
60,"High Fashion (feat. Mustard)","Roddy Ricch",11195,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
61,"This Is Real (ft. Ella Henderson)","Jax Jones",11148,https://open.spotify.com/track/1pRShUtGOG6ZP5fsnw9G4h
62,"Pump It Up",Endor,11052,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
63,"Ride It",Regard,10881,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
64,"Vossi Bop",Stormzy,10752,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
65,"WHATS POPPIN","Jack Harlow",10701,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
66,P2,"Lil Uzi Vert",10601,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
67,"Lose You To Love Me","Selena Gomez",10486,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
68,"Pour the Milk","Robbie Doherty",10436,https://open.spotify.com/track/3239OdTeQMBphegyNvF8F3
69,"Ladbroke Grove","AJ Tracey",10303,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
70,"3 Nights","Dominic Fike",10276,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
71,"when the party's over","Billie Eilish",10200,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
72,"I Don't Care (with Justin Bieber)","Ed Sheeran",10092,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
73,Señorita,"Shawn Mendes",10090,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
74,Suicidal,"YNW Melly",10018,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
75,"Lights Up","Harry Styles",9999,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
76,Grace,"Lewis Capaldi",9866,https://open.spotify.com/track/0pEkK8MqbmGSX7fT8WLMbR
77,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9757,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
78,"What If I Told You That I Love You","Ali Gatie",9614,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
79,"lovely (with Khalid)","Billie Eilish",9390,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
80,"Like That (feat. Gucci Mane)","Doja Cat",9388,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
81,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",9384,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
82,"Beautiful People (feat. Khalid)","Ed Sheeran",9363,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
83,Robbery,"Juice WRLD",9297,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
84,"Location (feat. Burna Boy)",Dave,9240,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
85,"I Love Me","Demi Lovato",9114,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
86,"Small Talk","Niall Horan",9090,https://open.spotify.com/track/2928yIGFV4enculPwmmGSe
87,Yummy,"Justin Bieber",9089,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
88,"Tequila - Jax Jones & Martin Solveig Present Europa","Jax Jones",9081,https://open.spotify.com/track/6fU55C7VdMSSkJ0ZGmX2Kg
89,"Forever (feat. Post Malone & Clever)","Justin Bieber",9036,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
90,Shallow,"Lady Gaga",8991,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
91,"Mr. Brightside","The Killers",8942,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
92,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",8909,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
93,Birthday,Anne-Marie,8901,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO
94,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",8899,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
95,Ransom,"Lil Tecca",8893,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
96,"Dear Patience","Niall Horan",8617,https://open.spotify.com/track/0gwfuYQz0TauOajxH2V2Cn
97,"Higher Love",Kygo,8485,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
98,"All My Friends","Dermot Kennedy",8476,https://open.spotify.com/track/70pP6E6VvznsfrSsznnQnk
99,Sorry,"Joel Corry",8413,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
100,Belter,"Gerry Cinnamon",8405,https://open.spotify.com/track/3buZ8XXWl8OJriJXL48XJc
101,"Flowers (feat. Jaykae and MALIKA)","Nathan Dawe",8292,https://open.spotify.com/track/5aYWnrsYvJk8NT7PmUcxVN
102,"Good as Hell (feat. Ariana Grande)",Lizzo,8257,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
103,"This City","Sam Fischer",8139,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
104,"Bend The Rules","Niall Horan",8081,https://open.spotify.com/track/5MhKHO4FYmpfDryQX9408O
105,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",8071,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
106,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",8043,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
107,Canter,"Gerry Cinnamon",8025,https://open.spotify.com/track/4p9aWfBThbAeVuqhzFnBxl
108,"ocean eyes","Billie Eilish",7980,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
109,F.N,"Lil Tjay",7971,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
110,Skechers,DripReport,7902,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
111,"Turn Me On (feat. Vula)",Riton,7859,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
112,"Eastside (with Halsey & Khalid)","benny blanco",7846,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
113,"Post Malone (feat. RANI)","Sam Feldt",7836,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
114,"One Night (feat. Raphaella)",MK,7733,https://open.spotify.com/track/4QUA94c3ycZm8dnpPih4sf
115,"HIGHEST IN THE ROOM","Travis Scott",7673,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
116,"Be Alright","Dean Lewis",7660,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
117,Still,"Niall Horan",7635,https://open.spotify.com/track/4Zwt0IkpzDOW2u0YfV94TK
118,Shotgun,"George Ezra",7547,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
119,Everywhere,"Niall Horan",7545,https://open.spotify.com/track/2NRpuYVJPYhxC8xyutxkoL
120,BOP,DaBaby,7539,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
121,SUGAR,BROCKHAMPTON,7536,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
122,"Don't Call Me Up",Mabel,7484,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
