,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"How Far I'll Go - From ""Moana""","Alessia Cara",51267,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
57,"Look At Me!",XXXTENTACION,49977,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
58,"The One","The Chainsmokers",48551,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
59,"One Dance",Drake,46371,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
60,"Do Not Disturb",Drake,46258,https://open.spotify.com/track/2KvHC9z14GSl4YpkNMX384
61,Swang,"Rae Sremmurd",45987,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
62,Perfect,"Ed Sheeran",45581,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
63,"I Got You","Bebe Rexha",45260,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
64,"Skepta Interlude",Drake,44900,https://open.spotify.com/track/2dfqS3MRtbLZSZA1IL8xY5
65,Happier,"Ed Sheeran",44589,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
66,"Sooner Or Later","Aaron Carter",43807,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
67,"Ice Melts",Drake,42739,https://open.spotify.com/track/7bJ4mu7MHa3rHiNyKjOoSl
68,"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly",42580,https://open.spotify.com/track/77lGafvlU68CeHgB2pkHC9
69,"Not Going Home (feat. Gia Koka)",DVBBS,41980,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
70,Everybody,Logic,41778,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM
71,"All Time Low","Jon Bellion",41501,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
72,Rolex,"Ayo & Teo",40778,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
73,History,"Olivia Holt",40677,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
74,"Can't Have Everything",Drake,40486,https://open.spotify.com/track/5f5r2N4Lp9WoULWPH9zp2W
75,Dive,"Ed Sheeran",40364,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
76,"Love On The Brain",Rihanna,39887,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
77,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)","Calvin Harris",38405,https://open.spotify.com/track/60APt5N2NRaKWf5xzJdzyC
78,"All Night","The Vamps",38036,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
79,"You Don't Know Me - Radio Edit","Jax Jones",38016,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
80,"Nothings Into Somethings",Drake,37185,https://open.spotify.com/track/6MbH1QiphMCPTqVEVC7UYi
81,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",36881,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
82,Glow,Drake,36779,https://open.spotify.com/track/28irpKCCK9nn9DZSik2zEx
83,Caroline,Aminé,36392,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
84,"Lose You",Drake,36087,https://open.spotify.com/track/2Na0z2gfN67Rzf0vp74Wi3
85,"All Night (feat. Knox Fortune)","Chance the Rapper",35850,https://open.spotify.com/track/60xaS8mYBKUW4VQQ666N0T
86,"The Other",Lauv,35796,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
87,"Just Hold On","Steve Aoki",34268,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
88,Everyday,"Ariana Grande",34178,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR
89,"What Do I Know?","Ed Sheeran",34145,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
90,"Party Monster","The Weeknd",34116,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
91,"Don't Wanna Know","Maroon 5",33471,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
92,Touch,"Little Mix",33080,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
93,"Since Way Back",Drake,32737,https://open.spotify.com/track/5JUu0unA8VwhTZ9LkMWUVI
94,"Sunset Lover","Petit Biscuit",31451,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
95,"X (feat. Future)","21 Savage",31439,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
96,"Some Way",NAV,31397,https://open.spotify.com/track/7zxRMhXxJMQCeDDg0rKAVo
97,"Obsession (feat. Jon Bellion)",Vice,31231,https://open.spotify.com/track/5pvVAwQbuFoR7LkcicrKnk
98,Redbone,"Childish Gambino",31128,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
99,"Come Closer (feat. Drake)",WizKid,31073,https://open.spotify.com/track/2f9LSU0aBW04w6KL26DW8r
100,Down,"Marian Hill",31046,https://open.spotify.com/track/2dqLk7ezV15LEJEwUmEbXB
101,"Let Me Love You","DJ Snake",30930,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
102,"Black Beatles","Rae Sremmurd",30868,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
103,"Light My Body Up (feat. Nicki Minaj & Lil Wayne)","David Guetta",30819,https://open.spotify.com/track/3vgNmjuRDnGLxUFGCLkwpm
104,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance the Rapper",30798,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
105,Reminder,"The Weeknd",30548,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
106,"Broccoli (feat. Lil Yachty)","Shelley FKA DRAM",30485,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
107,Starving,"Hailee Steinfeld",30440,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
108,"Get Right Witcha",Migos,29909,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
109,"No Frauds","Nicki Minaj",29799,https://open.spotify.com/track/7KcGEssn7BnJdTgildK5y0
110,"September Song","JP Cooper",29655,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
111,"24K Magic","Bruno Mars",29605,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
112,"Don't Let Me Down (feat. Daya)","The Chainsmokers",29596,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
113,goosebumps,"Travis Scott",29276,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
114,"Comin Out Strong (feat. The Weeknd)",Future,29053,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
115,"Conscience (feat. Future)","Kodak Black",28782,https://open.spotify.com/track/16dXg2YuFOxwDC3cTf5jde
116,"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone",28776,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
117,"No Promises (feat. Demi Lovato)","Cheat Codes",28670,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
118,"Bad Things (with Camila Cabello)","Machine Gun Kelly",28645,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
119,"New Man","Ed Sheeran",28048,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
120,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",27897,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH
121,"Side To Side","Ariana Grande",27752,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
122,Heathens,"Twenty One Pilots",27062,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
123,Moves,"Big Sean",26859,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
124,"My Way","Calvin Harris",26655,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
125,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",26549,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
126,"pick up the phone","Young Thug",26519,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
127,"Let Me Love You (feat. Chris Crone)",SJUR,26463,https://open.spotify.com/track/2jfCy43LsFbCQoB6HyetlY
128,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",26399,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
129,"Devotion - SMLE Remix","Coleman Hell",26386,https://open.spotify.com/track/0PU6tnyfo19DRCM7g5ISl4
130,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",26033,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
131,"Don't Leave",Snakehips,25818,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
132,"Supermarket Flowers","Ed Sheeran",25739,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
133,Controlla,Drake,25043,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
134,Panda,Desiigner,24891,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
135,"Too Good",Drake,24566,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
136,"In the Name of Love","Martin Garrix",24547,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
137,"Not Nice",PARTYNEXTDOOR,24530,https://open.spotify.com/track/4STaHtfguDMkWbPEo6Fwcx
138,"Wild One (feat. Tep No)","Lucky Rose",24225,https://open.spotify.com/track/2pq9pe4fR25v736ZXa8IRn
139,Sneakin’,Drake,23864,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
140,Barcelona,"Ed Sheeran",23384,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
141,"Low Life (feat. The Weeknd)",Future,23337,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
142,"What They Want",Russ,23287,https://open.spotify.com/track/3pndPhlQWjuSoXhcIIdBjv
143,"Hearts Don't Break Around Here","Ed Sheeran",23164,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
144,Mercy,"Shawn Mendes",22891,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
