,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mary Jane (Radio Edit)","Burry Soprano",146310,https://open.spotify.com/track/51agJccRxKI5dqGJFkTojo
2,"Elbet Bir Gün","Canbay & Wolker",97679,https://open.spotify.com/track/1PJ1BbGaVmLogYicLKoZix
3,"Dipsiz Kuyum","Emrah Karaduman",94621,https://open.spotify.com/track/27V2b6B6YZjU3IzqH1ynpm
4,Geceler,Ezhel,66582,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ
5,Tavşan,Contra,59123,https://open.spotify.com/track/3wdHYmGpUpBtdGtKhbQMQ1
6,"Bileklerime Kadar Acıyo","İdo Tatlıses",53759,https://open.spotify.com/track/5MS3WBYfG0ESHzc6WnB9aZ
7,Güzelliğine,Edis,52663,https://open.spotify.com/track/69J8H2ujqGkJ4KSqp2YpRu
8,"Kazıdık Tırnaklarla",Ezhel,52622,https://open.spotify.com/track/27OWNTEEtJCFVejrh5mqgv
9,"In My Mind",Dynoro,51706,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,"Dibine Dibine","Ece Seçkin",51019,https://open.spotify.com/track/5GmOQzK89STZgfjwBlwrui
11,"Tamam Tamam","Summer Cem",48780,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
12,Thunderclouds,Sia,47494,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
13,"Beni Sev","Hande Yener",46024,https://open.spotify.com/track/0bE8X3KwUifITMaibVR9eD
14,"In My Feelings",Drake,45557,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,Uyan,Velet,42902,https://open.spotify.com/track/5jpgdY7oK3z09QCLZwPM3o
16,"Boş Gemiler","Yüzyüzeyken Konuşuruz",42595,https://open.spotify.com/track/5xOAQ5o5mPI2FZZEOu1NZL
17,Kibir,Contra,41267,https://open.spotify.com/track/5EzaGJdyyvIekeLFdWA7iY
18,Vuracak,"Merve Özbey",40110,https://open.spotify.com/track/1jCv5QxEnfPyup6Kha3hNh
19,İmkansızım,Ezhel,39849,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe
20,"Yalnız Çiçek","Aleyna Tilki",39451,https://open.spotify.com/track/4CCYUYAzFBvD2omNu9EGPI
21,"AYIK OL",Contra,39216,https://open.spotify.com/track/0NjXHzbMH49PE8fcgmYZPF
22,"Ölüler Dirilerden Çalacak",Gazapizm,39190,https://open.spotify.com/track/00hLEiQKIWXt0rd9SnBrXY
23,"Solo (feat. Demi Lovato)","Clean Bandit",38875,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
24,"Yak Yak Yak",Şehinşah,37702,https://open.spotify.com/track/4GjIoWGPLf7C8LcjK1UNlS
25,"Sensiz Ben Ne Olayım",Yalın,36753,https://open.spotify.com/track/7lxdCKq3vq2r9vVTdSUTk7
26,"Heyecanı Yok",Gazapizm,35412,https://open.spotify.com/track/4sa0pXDdQkBZ1r5NZWQJyV
27,Yalan,Edis,35002,https://open.spotify.com/track/1qCjcG3qbzUxdA0wt1Zvea
28,"YERDEN YÜKSEK 2",Contra,34561,https://open.spotify.com/track/67HY5uY06KnoJnGckIaanZ
29,Natural,"Imagine Dragons",34299,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
30,"Pavyon (feat. Ezhel)",Artz,34139,https://open.spotify.com/track/1ilFULm3dQtAPMpNIQz5RJ
31,"Mary Jane (Ilkay Şencan Remix)","Burry Soprano",33740,https://open.spotify.com/track/4XE6trUWUlZqQ2wqrk0vJe
32,"Tsubasa (feat. No.1)",Xir,33586,https://open.spotify.com/track/4HGSQLxtJOyod1yzUSYhKw
33,"Falling Down - Bonus Track","Lil Peep",33261,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
34,Vermedin,"Umut Timur",32812,https://open.spotify.com/track/0UmrWrJNzY8wSTFdjtiKUw
35,"Boza Boza","Soner Sarıkabadayı",31937,https://open.spotify.com/track/6AFgvYxOfnjcSsJgxkVpot
36,"Takdir-i İlahi","Oğuzhan Koç",31568,https://open.spotify.com/track/5DtRoFFNian2XZlxRWorpF
37,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",29929,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
38,"Ben Bazen",Simge,29363,https://open.spotify.com/track/27lKzu8eKwNUxtTUvSDpBN
39,"Şehrimin Tadı",Ezhel,29283,https://open.spotify.com/track/5JaXKUIcNxwSuUyD4CsphL
40,"One Kiss (with Dua Lipa)","Calvin Harris",28610,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
41,"God is a woman","Ariana Grande",27396,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
42,"Promises (with Sam Smith)","Calvin Harris",27373,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
43,"A Canım","Mabel Matiz",27342,https://open.spotify.com/track/6GxaMyQYnqqASQKNYY4Tub
44,"Lucky You (feat. Joyner Lucas)",Eminem,26388,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
45,Loco,"Yung Felix",25868,https://open.spotify.com/track/0DCxNJg7yquzAHORClrP3e
46,"Say My Name","David Guetta",25828,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
47,"Bazen (feat. Emel)",Ezhel,25783,https://open.spotify.com/track/6qkXhA5mVvG1DLyliRS1Yf
48,"I Like It","Cardi B",25636,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
49,"I Love It (& Lil Pump)","Kanye West",24963,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
50,Alo,Ezhel,24876,https://open.spotify.com/track/3hdXIz9eY9u5QoEUkBs5yN
51,"Düşün ki",Sancak,24036,https://open.spotify.com/track/58N360dQMsyXxgU8pA5vxb
