,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,Dura,"Daddy Yankee",32870,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
58,"Suena El Dembow","Joey Montana",32776,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
59,"Se Preparó",Ozuna,32665,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
60,Peligrosa,"J Balvin",31822,https://open.spotify.com/track/3Nkqp3NSGWMXVVO08zGpN7
61,Casualidad,Nacho,31757,https://open.spotify.com/track/2AX7TMZg6uZVJCmY4CCoWS
62,Calypso,"Luis Fonsi",31752,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
63,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,31345,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
64,"Girls Like You (feat. Cardi B)","Maroon 5",31250,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
65,Downtown,Anitta,31071,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
66,Ven,Cami,30440,https://open.spotify.com/track/2L9WFjCUc09AdxAJJ3OdG0
67,Mamita,CNCO,30121,https://open.spotify.com/track/71GAvRsilpo9pqd0vYn8Mo
68,"Báilame - Remix",Nacho,29780,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
69,"Escápate Conmigo (feat. Ozuna)",Wisin,28317,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
70,"El Gil de Tu Ex",Santaferia,27489,https://open.spotify.com/track/3cUE3p7E39CzGjQoEsg7sM
71,"Un Poco Más De Frío",Cami,27478,https://open.spotify.com/track/0QMFJjtAC1BCA9N7RlFrvt
72,"3 A.M.","Jesse & Joy",27477,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
73,"Bella y Sensual","Romeo Santos",27299,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
74,"Shape of You","Ed Sheeran",27295,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
75,"Everybody Dies In Their Nightmares",XXXTENTACION,27273,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
76,"New Rules","Dua Lipa",26933,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
77,"Reggaeton Ton","Alexis y Fido",26755,https://open.spotify.com/track/7CLxRXy3olj2KngFWAEIcg
78,"Robarte un Beso","Carlos Vives",26003,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
79,"Déjate Llevar","Juan Magán",25871,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
80,Perfect,"Ed Sheeran",25669,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
81,"El Anillo","Jennifer Lopez",24840,https://open.spotify.com/track/2SpfMQ5TuKsMj1trNwrLVA
82,Dicen,"Matt Hunter",24668,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
83,"Otra vez (feat. J Balvin)","Zion & Lennox",24386,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
84,"Más De La Mitad",Cami,24111,https://open.spotify.com/track/6K58QzAlX780MS0nv1kvT9
85,IDGAF,"Dua Lipa",23700,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
86,"God's Plan",Drake,23227,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
87,"To My Love - Tainy Remix","Bomba Estéreo",23166,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
88,"Que Va","Alex Sensation",22859,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
89,Curiosidad,Yandel,22665,https://open.spotify.com/track/6gOm0Z1gzRVLlQIUwTZ57i
90,"She Don't Give a Fo",Duki,22453,https://open.spotify.com/track/6S3yaMAF7jB4GfjXdYLsD0
91,Karma,"Sky Rompiendo",22346,https://open.spotify.com/track/14WIiWOJXL5VkX1zpt87Ed
92,"Dime Si Te Acuerdas","Bad Bunny",22179,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
93,"no tears left to cry","Ariana Grande",22133,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
94,"Back To You","Selena Gomez",21728,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
95,"El Clavo","Prince Royce",21586,https://open.spotify.com/track/0LKErfBZ5FbBiLB4OcZRbL
96,"Look At Me!",XXXTENTACION,21579,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
97,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,21510,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
98,Tonta,"R.K.M & Ken-Y",20737,https://open.spotify.com/track/5ZjJT7BB8OoVjyRZRYGen8
99,Pineapple,"KAROL G",20401,https://open.spotify.com/track/24snQ8Ew7aIKYCt0ulXHvx
100,Vete,KHEA,20116,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
101,"Le Encanta","Juan Magán",19792,https://open.spotify.com/track/5MucM2zqn6ugfL7jQdhf0s
102,"Canción Bonita","Moral Distraida",19688,https://open.spotify.com/track/338KFbIhA3EXCcqUzCRDyn
103,"Como Le Digo",KHEA,19631,https://open.spotify.com/track/2fxJDRmUMatqyZ6ZOQi7RD
104,"Fiebre (feat. Wisin & Yandel)","Ricky Martin",19618,https://open.spotify.com/track/0oFqlgK2LJ9eMlpGBCmRvf
105,Believer,"Imagine Dragons",19566,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
106,"Una Lady Como Tú","Manuel Turizo",19519,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
107,Hielo,"Daddy Yankee",19515,https://open.spotify.com/track/2HBycDgM5FIOUZFewSTUgp
108,"No Te Vas - Remix",Nacho,19441,https://open.spotify.com/track/2UYQRrQBqGp9J7d2d23ZKv
109,Mayores,"Becky G",19403,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
110,FRIENDS,Marshmello,19164,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
111,"Ocean (feat. Khalid)","Martin Garrix",19066,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
112,"Hangover (feat. Prince Royce)",Maluma,19057,https://open.spotify.com/track/30dTsIbEuISrnDeeE0BKp1
113,"Hablar de Ti",Gepe,18989,https://open.spotify.com/track/1vV2FBKYvu6sJDqzSCNgbI
114,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel AA",18830,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
115,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,18739,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
116,Besándote,"Piso 21",18535,https://open.spotify.com/track/43jclIPKJv9iFiYWVyWqsb
117,"La Modelo",Ozuna,18461,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
118,"Como Mirarte","Sebastian Yatra",18457,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
119,Momentos,"Bryant Myers",18437,https://open.spotify.com/track/1ltP6Y0ObANzJ9N3bkkYx4
120,"Amantes de una Noche","Natti Natasha",18338,https://open.spotify.com/track/2iCOdoyDmWG3hWkbtH1KB2
121,"Destino o casualidad",Melendi,18311,https://open.spotify.com/track/2sMxswHr9wX7kTUHULvJBJ
122,"Pa Dentro",Juanes,18301,https://open.spotify.com/track/7flNdUykV5LYDRv8wQDbsx
123,Usted,"Juan Magán",18173,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
124,"DDU-DU DDU-DU",BLACKPINK,18041,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB
125,SUTRA,"Sebastian Yatra",17965,https://open.spotify.com/track/0lTYnxJdC68v0oXd5xolxY
126,"De las 2 (feat. Bad Bunny & Arcángel)","Trap Capos",17879,https://open.spotify.com/track/4DS7HoqrKq1dDjeYOKBlu9
127,"Sobredosis (feat. Ozuna)","Romeo Santos",17819,https://open.spotify.com/track/1WbXIpiGBJkCiv3hn40iPB
128,Fuerte,Cami,17817,https://open.spotify.com/track/70mIAgxSrv79ZFycKidt8T
129,"EL BAÑO (feat. Bad Bunny)","Enrique Iglesias",17693,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
130,"Como Antes (feat. Wisin)",Yandel,17660,https://open.spotify.com/track/5YzA563GXTuwQaRq24z1k5
131,"Thinking out Loud","Ed Sheeran",17598,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
132,"Solo (feat. Demi Lovato)","Clean Bandit",17504,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
133,"Solo - Remix","Lary Over",17459,https://open.spotify.com/track/3He16IbDCweYwKPIa9jbNS
134,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",17459,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
135,Marinero,Maluma,17458,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
136,"Better Now","Post Malone",17383,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
137,"Olha A Explosão","MC Kevinho",17116,https://open.spotify.com/track/6Q4foUefrAyCt8VxJFML56
138,Amárrame,"Mon Laferte",17027,https://open.spotify.com/track/0u13src3QcditRU5VPduML
139,"100 Años",Ha*Ash,17004,https://open.spotify.com/track/4gJzpOMYyOpVnbDXlT5aWL
140,"Todo Comienza en la Disco",Wisin,16918,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh
141,"Ahora Dice","Chris Jeday",16886,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
142,"Quisiera Alejarme (feat. Ozuna)",Wisin,16761,https://open.spotify.com/track/5X9daJT0Qg5yLIvUqwPKkX
143,"Lucid Dreams","Juice WRLD",16626,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
144,"No Lie","Sean Paul",16563,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
145,"Mi Gente","J Balvin",16422,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
146,Youngblood,"5 Seconds of Summer",16361,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
147,"Toditas Por Ti",Cami,16298,https://open.spotify.com/track/4bShtSiosoz9qzaOU4PWo9
148,Balenciaga,Dominion,16242,https://open.spotify.com/track/2YWgPHZSzjfkh2dPsEuaTm
149,Vuelve,"Daddy Yankee",16237,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv
150,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",16213,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
151,"La llave (feat. Piso 21)","Pablo Alborán",16123,https://open.spotify.com/track/0nJUoF6tA031X6zvX9ee4R
152,"Hacerlo de Día","Moral Distraida",15986,https://open.spotify.com/track/0nApFXPoSanA4n7j563Ind
153,"Bum Bum Tam Tam","MC Fioti",15939,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
154,"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix",Wisin,15931,https://open.spotify.com/track/5YY7ht3PCArlLjLbcTiAvh
155,"lovely (with Khalid)","Billie Eilish",15917,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
156,"Olha A Explosão - Remix","MC Kevinho",15894,https://open.spotify.com/track/5RBW30fFFVav2n0IqFj0fY
157,"Estamos Clear","Miky Woodz",15653,https://open.spotify.com/track/6IlcjkEw26SeAKvjXSwsVb
158,"Explícale (feat. Bad Bunny)",Yandel,15611,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
159,"Serenata cruel","Villa Cariño",15445,https://open.spotify.com/track/152U4ecGSiYeKm2gnFc4wA
160,"Havana (feat. Young Thug)","Camila Cabello",15395,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
161,Photograph,"Ed Sheeran",15356,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
162,"Perro Fiel (feat. Nicky Jam)",Shakira,15321,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
163,"The Scientist",Coldplay,15256,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
164,"Mi Mala - Remix","Mau y Ricky",15144,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
165,"I Feel It Coming","The Weeknd",15138,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
166,"Too Good At Goodbyes","Sam Smith",15118,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
167,"Wonderwall - Remastered",Oasis,15104,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
