,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
58,"One Kiss (with Dua Lipa)","Calvin Harris",32739,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
59,"Girls Like You (feat. Cardi B)","Maroon 5",32534,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
60,Bipolar,"Chris Jedi",32376,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
61,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",31591,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
62,"Fvck Luv",Duki,31469,https://open.spotify.com/track/04EMkFMFkTaxWciZvxjkVT
63,"Mi Mala - Remix","Mau y Ricky",31188,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
64,"Zum Zum","Daddy Yankee",31026,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
65,Dura,"Daddy Yankee",30621,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
66,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",29768,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
67,Moonlight,XXXTENTACION,28593,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
68,"A Partir De Hoy","David Bisbal",28453,https://open.spotify.com/track/1FMNuRMIcPD6PDQGoi5Ifn
69,Chapiadora,Cazzu,28435,https://open.spotify.com/track/3Fdth9HQGCGuGXptoftjfA
70,"no tears left to cry","Ariana Grande",28278,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
71,Dicen,"Matt Hunter",28147,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
72,Calentita,KHEA,27745,https://open.spotify.com/track/7E8G7hoSk49VNuAbdSFiwo
73,"Back To You","Selena Gomez",26911,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
74,"Apaga el celular","Lit Killah",26684,https://open.spotify.com/track/7BhCvFVZwe04hLpNutqTdg
75,changes,XXXTENTACION,26577,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
76,Esperándote,"Manuel Turizo",25842,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
77,"Échame La Culpa","Luis Fonsi",25312,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
78,"Quiero Repetir",Ozuna,25186,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
79,Lento,"Seven Kayne",25049,https://open.spotify.com/track/7wo6WO7vHk3HnS6DTcinoG
80,"El Farsante - Remix",Ozuna,24857,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
81,"La Vida Sin Ti","Piso 21",24778,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
82,"No Me Acuerdo",Thalia,24698,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
83,"El Clavo","Prince Royce",24540,https://open.spotify.com/track/0LKErfBZ5FbBiLB4OcZRbL
84,"Shape of You","Ed Sheeran",23977,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
85,Rockstar,Duki,23953,https://open.spotify.com/track/5DQGkXXLiOhf5cKqIyWh5L
86,"Loca (feat. Duki, Cazzu)",KHEA,23812,https://open.spotify.com/track/0vnrhysrKKRdNYFKLAGzRc
87,Messi,"Neo Pistea",23606,https://open.spotify.com/track/3wcTpbJfzaQ3MHt22ZJgqm
88,"Me Rehúso","Danny Ocean",23289,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
89,Perfect,"Ed Sheeran",23269,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
90,"El Anillo","Jennifer Lopez",22516,https://open.spotify.com/track/2SpfMQ5TuKsMj1trNwrLVA
91,"Luna Llena","Paulo Londra",22509,https://open.spotify.com/track/1kK7yrknQvA2wEU5zyG41m
92,"Se Preparó",Ozuna,22341,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
93,FRIENDS,Marshmello,21534,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
94,"Robarte un Beso","Carlos Vives",21338,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
95,"Suena El Dembow","Joey Montana",21315,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
96,"New Rules","Dua Lipa",21119,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
97,"Noche Complicada",Frijo,21082,https://open.spotify.com/track/4f9vS74fLCma9Tc93iTQbR
98,IDGAF,"Dua Lipa",20946,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
99,"God's Plan",Drake,20932,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
100,Princesa,TINI,20878,https://open.spotify.com/track/6JpjnU0v7J3r7iHcWxLo6P
101,Q.E.P.D,Wolty,20733,https://open.spotify.com/track/0VaGR19qdoi0tf2EbTY3yN
102,"Rolling Stone",Ecko,20487,https://open.spotify.com/track/245sMgdD4VXs2GqDpTdq2i
103,"Salgo a Cazar","YSY A",20404,https://open.spotify.com/track/2DfgOx1IEjWpuMMyn178sK
104,"Solo (feat. Demi Lovato)","Clean Bandit",20378,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
105,Youngblood,"5 Seconds of Summer",20203,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
106,"EL BAÑO (feat. Bad Bunny)","Enrique Iglesias",20160,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
107,"Nunca quise",Intoxicados,20127,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
108,Creo,Callejeros,19926,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ
109,"Touchdown - Radio Edit","Kidd Keo",19890,https://open.spotify.com/track/6Llaige5yDMgZDsuNqeoxs
110,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,19790,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
111,Rompe,Ecko,19709,https://open.spotify.com/track/3oNoc3Gj5amFZ2QYOTJoAK
112,"Como Mirarte","Sebastian Yatra",19680,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
113,Oncemil,"Abel Pintos",19516,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ
114,Atrapado,"Seven Kayne",18716,https://open.spotify.com/track/0S2Sjnhbeh9wdimTzXBc0L
115,"Cámara Lenta","Paulo Londra",18653,https://open.spotify.com/track/0DFxA6i4yu8AORcdPrDEmd
116,Mamita,CNCO,18628,https://open.spotify.com/track/71GAvRsilpo9pqd0vYn8Mo
117,Rebota,Ecko,18539,https://open.spotify.com/track/6V6SZ4JbgtGF8owOpUqOah
118,Calypso,"Luis Fonsi",18510,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
119,Crimen,"Gustavo Cerati",18430,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp
120,"Báilame - Remix",Nacho,18339,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
121,"Me Tiene Mal","Paulo Londra",18313,https://open.spotify.com/track/5BHiSQqlKWKoSmASzJTrVg
122,"Fiebre (feat. Wisin & Yandel)","Ricky Martin",18297,https://open.spotify.com/track/0oFqlgK2LJ9eMlpGBCmRvf
123,Believer,"Imagine Dragons",18193,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
124,"Spaghetti del Rock",Divididos,18186,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr
125,Mojaa,Bhavi,18174,https://open.spotify.com/track/1XT4N8ostsFZcZNDio0jWL
126,Mayores,"Becky G",18130,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
127,SUTRA,"Sebastian Yatra",17775,https://open.spotify.com/track/0lTYnxJdC68v0oXd5xolxY
128,"Havana (feat. Young Thug)","Camila Cabello",17723,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
129,Dorado,Ecko,17699,https://open.spotify.com/track/3J4cbpVuuo8sdLWcEajRA3
130,"Dime Si Te Acuerdas","Bad Bunny",17504,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
131,"Ocean (feat. Khalid)","Martin Garrix",17452,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
132,"La Incondicional","Luis Miguel",17206,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
