,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,Déstabilisé,"Djadja & Dinaz",57307,https://open.spotify.com/track/71gEIIqahWVslRCXtN5yhK
57,"Histoire de",AM,55974,https://open.spotify.com/track/4aKRNoUVhMMA5uNPWW5zAW
58,"Symphony (feat. Zara Larsson)","Clean Bandit",54840,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
59,Human,"Rag'n'Bone Man",53125,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
60,"Hear Me Now",Alok,52615,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
61,HUMBLE.,"Kendrick Lamar",52321,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
62,B.O.C,Niska,51601,https://open.spotify.com/track/4ysXJQqi5zH0yz1R4sna52
63,"Je m'en vais",Vianney,51507,https://open.spotify.com/track/2Vd1vVQaBilW0O6nmU5BkH
64,Onizuka,PNL,51384,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by
65,Sexual,NEIKED,48915,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
66,"September Song","JP Cooper",48382,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
67,Skin,"Rag'n'Bone Man",48320,https://open.spotify.com/track/6y2Kaz9QI01XBKJ8mTb7Pf
68,"Mauvaise graine",Nekfeu,48133,https://open.spotify.com/track/4kKJ5CjwCtksszPMntho4N
69,"Chocolat (feat. Awa Imani)",Lartiste,47793,https://open.spotify.com/track/4fwtP5khM1iEoa6BP1QQsX
70,"Green Light",Lorde,46466,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
71,"That's What I Like","Bruno Mars",45997,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
72,"Feu d'artifice",Alonzo,45650,https://open.spotify.com/track/6D8tdYo3mBOIUrWAk8wOVo
73,Cold,"Maroon 5",45283,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
74,Squa,Nekfeu,44205,https://open.spotify.com/track/11hj8c8BCRd5ND3CRhZSvt
75,"Never Give Up",Sia,43874,https://open.spotify.com/track/1ssmjAYSU5PbmsjLq5yrNH
76,Roule,Soprano,43438,https://open.spotify.com/track/6dbdxneD4mLKDgXJ6GQkJm
77,"One Dance",Drake,42967,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
78,"Castle on the Hill","Ed Sheeran",42611,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
79,Saturne,Nekfeu,42308,https://open.spotify.com/track/5t9fmZx0pcNxLykKTv6eOe
80,Infréquentables,Dosseh,40690,https://open.spotify.com/track/63z6p4gpgnpZprANkpBIHH
81,"Sooner Or Later","Aaron Carter",40314,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
82,"Oceans Away","A R I Z O N A",39638,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
83,Weak,AJR,38380,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
84,"Just Hold On","Steve Aoki",38343,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
85,Aloha,Møme,37512,https://open.spotify.com/track/6HViP4DVYa8gQtxLndmhwu
