,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Bäng Bäng typerä sydän (feat. eetu)",Ellinoora,14156,https://open.spotify.com/track/5g4KyDNIMfAVhrMh3zJGRH
54,"Beautiful (feat. Camila Cabello)",Bazzi,13746,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
55,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",13582,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
56,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",13292,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
57,"The Ringer",Eminem,13150,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
58,"Girls Like You (feat. Cardi B)","Maroon 5",13041,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
59,Luurangot,costee,12831,https://open.spotify.com/track/5ZYl4htdPXx5oZdzionWSd
60,Sateet,Janna,12807,https://open.spotify.com/track/0VtLEiRZlNM4P10hQc9gSM
61,"Right Now","Nick Jonas",12754,https://open.spotify.com/track/43wzy7JxMEfvCh8ZFeZKYk
62,"rockstar (feat. 21 Savage)","Post Malone",12470,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
63,Better,Khalid,12398,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
64,Luuseri,"Aleksanteri Hakaniemi",11983,https://open.spotify.com/track/0s8A5JK6GPggOi7nLNmEIA
65,"No Stylist (feat. Drake)","French Montana",11979,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
66,"Let You Love Me","Rita Ora",11837,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
67,"Love Someone","Lukas Graham",11776,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
68,"Roska silmäs",TIPPA,11761,https://open.spotify.com/track/0NphthcD8OIJp5xAaZnwpQ
69,"Jocelyn Flores",XXXTENTACION,11651,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
70,Fall,Eminem,11618,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
71,Moonlight,XXXTENTACION,11517,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
72,"SICKO MODE","Travis Scott",11151,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
73,breathin,"Ariana Grande",10977,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
74,Supervoimii,Elastinen,10882,https://open.spotify.com/track/7rehjyv0IQ0WQoB6wZRfnY
75,Youngblood,"5 Seconds of Summer",10853,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
76,"Säässä ku säässä","Arttu Lindeman",10777,https://open.spotify.com/track/5MXPqAs7FdolN2vx7ydH0G
77,"Happy Now",Zedd,10699,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
78,BIGMACi,Bizi,10633,https://open.spotify.com/track/3Za5BrvgHQytNMZxZTa16s
79,"Pidä Musta Kii","Mikael Gabriel",10544,https://open.spotify.com/track/4GjFMQfxoeAiNcyhfNqUXs
80,"Elephant's Weight (feat. The Rasmus) [Vain elämää kausi 9]","Lauri Ylönen",10460,https://open.spotify.com/track/3Aq7bbeGuq1BaBK01UnpUg
81,"Vielä Kerran",Evelina,10426,https://open.spotify.com/track/2GcKgmUSo2U2PI945yxk2X
82,"Kaksi ihmistä","Haloo Helsinki!",10234,https://open.spotify.com/track/4h1nlsgutqwzk2ZqYaZdOF
83,"Orpolapsi kiurun","Ville Valo & Agents",10139,https://open.spotify.com/track/3Avtm2vRjnh0yCGAKJnN7p
84,"Jotain On Poissa","Anssi Kela",10123,https://open.spotify.com/track/3WP6bLG8CUBPcvmiVZzjA4
85,Naurettava,Ilta,10119,https://open.spotify.com/track/53VbOPa6HZihBGxlEy6GPM
86,"Shape of You","Ed Sheeran",10002,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
87,"God is a woman","Ariana Grande",9776,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
88,"Jackie Chan",Tiësto,9748,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
89,Popkorni,JVG,9561,https://open.spotify.com/track/7m101w73Md4O2MDgxjSwop
90,Kevät,"Adi L Hasla",9315,https://open.spotify.com/track/7xrMRHovEoiZ72bQxDuev8
91,#ihanaa,"Petri Nygård",9228,https://open.spotify.com/track/4hK01qQsklh2Cw15f6VQ5I
92,"I Like It","Cardi B",9177,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
93,Rise,"Jonas Blue",9127,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
94,"Sit ku mä oon vapaa",SANNI,8990,https://open.spotify.com/track/3x5KgPsXF0J9HWFuX159yh
95,Thunderclouds,Sia,8924,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
96,"Electricity (with Dua Lipa)","Silk City",8883,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
97,"no tears left to cry","Ariana Grande",8812,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
98,"Kevät (Vain elämää kausi 9)","Pepe Willberg",8785,https://open.spotify.com/track/7rOtZqWiT15ld13Uc0gbdT
99,changes,XXXTENTACION,8733,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
100,"I'm a Mess","Bebe Rexha",8634,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
101,"Kahleet - Vain Elämää Kausi 9","Tuure Kilpeläinen",8570,https://open.spotify.com/track/7bIJG1hjWMLwuVWNSnMZY3
102,"Wake Up in the Sky","Gucci Mane",8491,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
103,"Solmussa (feat. BEHM)","Pikku G",8464,https://open.spotify.com/track/6uiksUqzgp6WyHHNsgTBHt
104,"Rakkauden Roinaa - Vain Elämää Kausi 9","Tuure Kilpeläinen",8415,https://open.spotify.com/track/7o5Dgrvor97EMFO34iTEdj
105,"Esson baariin",Poju,8415,https://open.spotify.com/track/3AVOlegKLZkDe3GSnM8XpF
106,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",8375,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
107,"Ei suomalaiset tanssi","Haloo Helsinki!",8368,https://open.spotify.com/track/36knYZNgwftBUhMZOzmtmE
108,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",8346,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
109,Perfect,"Ed Sheeran",8323,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
110,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",8221,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
111,"Keho Puhuu","Anna Puu",8101,https://open.spotify.com/track/6PHP9rUBCgEK0kdEpYtSX5
112,"Kynnet, Kynnet",Pyhimys,8076,https://open.spotify.com/track/7aqFFUWzu20WiSCuInMfwz
113,"One Kiss (with Dua Lipa)","Calvin Harris",8023,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
114,"No Brainer","DJ Khaled",8001,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
115,Happier,"Ed Sheeran",7972,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
116,"Not Alike (feat. Royce Da 5'9)",Eminem,7834,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
117,Flames,"David Guetta",7824,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
118,BILLY,6ix9ine,7744,https://open.spotify.com/track/5KhFaq45chTw8RGfWo8T8J
119,"Rikkinäinen Prinsessa","Nikke Ankara",7707,https://open.spotify.com/track/5eKpOnlRJC70PfzunR3UWO
120,"Carrie (Vain elämää kausi 9)","Anne Mattila",7653,https://open.spotify.com/track/4daNsAuRJhyMu7NsllJ0H8
121,"Look At Me!",XXXTENTACION,7643,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
122,Antaudun,"Reino Nordin",7619,https://open.spotify.com/track/1tHecEhjSqsh8QGhau0iHC
123,"Born To Be Yours",Kygo,7558,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
124,"New Patek","Lil Uzi Vert",7555,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
125,"All For Love",Tungevaag,7533,https://open.spotify.com/track/5VGBgPVFO3e0lWz4WHYntQ
126,Believer,"Imagine Dragons",7520,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
127,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons",7519,https://open.spotify.com/track/0cDwUAF7yQrOLRcFfJpSc2
128,"Ocean (feat. Khalid)","Martin Garrix",7424,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
129,"Venom - Music From The Motion Picture",Eminem,7374,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
130,"Satutat mua",TIPPA,7363,https://open.spotify.com/track/4dH9OKkreITljFAZl1t2i7
131,"Elefantin paino",Ellinoora,7339,https://open.spotify.com/track/1OmwCW3wffqU4DNwMAW8qs
132,"Timantit on ikuisia",Cheek,7179,https://open.spotify.com/track/0wrhLxy4aDAQ0z3FOa4aoe
133,"Save That Shit","Lil Peep",7120,https://open.spotify.com/track/0S0vWvyZ6Rc79TXkWxT9QA
134,"Surulapsi (Vain elämää kausi 7)",Cheek,7106,https://open.spotify.com/track/5pSSjM7U4ZIxcjdDLarOVI
135,Enkelit,Cheek,7084,https://open.spotify.com/track/1OgQlkRYo6t28bqAEu7rXw
136,Greatest,Eminem,7061,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
137,"Tummilla teillä","Vesterinen yhtyeineen",7029,https://open.spotify.com/track/3GEeZ4XWCbZ9FS79h2t2Vv
138,"In My Life (Vain elämää kausi 9)","Pepe Willberg",7001,https://open.spotify.com/track/36FRtlXfdF3VwlnKOg65EB
139,"In The Shadows (Vain elämää kausi 9)","Anne Mattila",6998,https://open.spotify.com/track/5ExQ3bgftzKNMEjhHp1YFt
140,"lovely (with Khalid)","Billie Eilish",6978,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
141,"Ei mitää järkee (feat. Gracias)",Gettomasa,6975,https://open.spotify.com/track/3CXs8zscgSdJXDS5ty9WxY
142,"Yölaulu (Vain elämää kausi 9)","Pepe Willberg",6963,https://open.spotify.com/track/6rYxdoCCu5Szf6qiTYZ1ZS
143,"Mitä Sil On Välii","Paul Elias",6941,https://open.spotify.com/track/58EQ164aX4rJ7WQWTDghOS
144,"Mä en pelkää","Lauri Tähkä",6842,https://open.spotify.com/track/04EVzCgLNbs4ivZ1rzc56K
145,"Everybody Dies In Their Nightmares",XXXTENTACION,6791,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
146,"RAP DEVIL","Machine Gun Kelly",6775,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr
147,Nössö,"Petri Nygård",6765,https://open.spotify.com/track/0gySKxqIOHTVD3YObTsJug
148,"Sä Et Tiennyt","Anssi Kela",6717,https://open.spotify.com/track/0KgGBYjnBdk94oj4mDWp3d
149,"Me Ollaan Runo","Anna Puu",6697,https://open.spotify.com/track/0u5a4aMWEqaofPPBHDzc1X
150,Kamikaze,Eminem,6634,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
151,Voulez-vous,"Jenni Vartiainen",6610,https://open.spotify.com/track/1bt978ivPeSlYKs2PPeyMU
152,"Joku päivä töitä teen (feat. Pepe Willberg)","Roope Salminen & Koirat",6601,https://open.spotify.com/track/5VJovLNCYsy2BDDOGiNF1s
153,"Elämänpuu - Vain Elämää Kausi 9","Tuure Kilpeläinen",6582,https://open.spotify.com/track/6wiX9VwyTI9jq7uBZ9fmOy
154,Leijonakuningas,Ellinoora,6563,https://open.spotify.com/track/4MsOdD6nhPuvnK9MyVAniA
155,"Body (feat. brando)","Loud Luxury",6547,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
156,"Kill Yourself (Part III)",$uicideboy$,6484,https://open.spotify.com/track/5XAPpyIoYF3QXP34Hv8Pvx
157,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,6483,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
158,Zombie,"Bad Wolves",6473,https://open.spotify.com/track/1eadPrzB2P0ikQcqhKSAtv
159,"Väärään suuntaan","Jenni Vartiainen",6465,https://open.spotify.com/track/1BLs53IYnV6OsjHU5CUNCr
160,Swipe,Cledos,6428,https://open.spotify.com/track/0OQErBICpbXDVhANk9JS9o
161,"Sun Vika",Evelina,6310,https://open.spotify.com/track/33B8pusNWL0lfl6rm2n8je
162,FRIENDS,Marshmello,6305,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
163,"God's Plan",Drake,6263,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
164,STARGAZING,"Travis Scott",6215,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
165,"XO Tour Llif3","Lil Uzi Vert",6179,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
166,"Naapurit Kuulee","Mikael Gabriel",6161,https://open.spotify.com/track/4pZdFXEz5fo8IaOga7z9bM
167,"Kivi Sakset Seteli","Mikael Gabriel",6090,https://open.spotify.com/track/76UTToAC4uVuQZk0jMCwEb
168,BEBE,6ix9ine,6050,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
169,"TEXAS (feat. JVG)","Haloo Helsinki!",6043,https://open.spotify.com/track/5ULiEi3KOYP1l7h8VXAsBH
170,Ilves,"Anssi Kela",6030,https://open.spotify.com/track/6Tas2d5Eah7HGgTDTWjCof
171,"Wake Me Up",Avicii,5986,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
172,"Havana (feat. Young Thug)","Camila Cabello",5966,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
173,"Äiti anna anteeks",Pyhimys,5942,https://open.spotify.com/track/2PcxqqlWxVnu9y3b9pWONp
174,"Like I Do","David Guetta",5941,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
175,"Sillat (feat. Ilta)",Cheek,5917,https://open.spotify.com/track/1y79Q5QoYX1POEfBqAwJB5
176,"Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica]",SANNI,5868,https://open.spotify.com/track/1g5ekWqRgWCxG2vX14EFzn
177,"Malja (Vain elämää kausi 7)",Cheek,5824,https://open.spotify.com/track/5yDuixmCBMLPzz9tuH4vE0
178,2002,Anne-Marie,5822,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
179,"Lean Wit Me","Juice WRLD",5820,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
180,"Hombre (feat. Vesala)",JVG,5776,https://open.spotify.com/track/6h4EXoiVFJehGrK9Xl8Zeo
181,"Pakita - Remix",MEGA-Ertsi,5764,https://open.spotify.com/track/7AnZCLvFktjQnhpzIaEUAW
182,"Side Effects (feat. Emily Warren)","The Chainsmokers",5758,https://open.spotify.com/track/5hrXLJJrnKraxRQntH0Vv9
183,"Paratiisiin (feat. Ilta)","Pikku G",5746,https://open.spotify.com/track/62dEp1RkvzVAZawu5bRFlG
184,"Mobutu Sese Seko",Pyhimys,5737,https://open.spotify.com/track/5kkMHhZouxtAGL5BYfjwhm
185,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,5702,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
186,"Made in Italy",Cledos,5696,https://open.spotify.com/track/2tWJ4xejt3w4sjrUuULuYo
187,"Dusk Till Dawn - Radio Edit",ZAYN,5692,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
188,"Avaimet mun kiesiin - Radio Edit",Cheek,5677,https://open.spotify.com/track/3YnOEMNkFgxivVVBrPciDR
189,"Hei Me Lennetään",Spekti,5667,https://open.spotify.com/track/1vdIgNz4FssfhcnqKSRF7j
190,Honey,Evelina,5633,https://open.spotify.com/track/6oWx00So8wCAopjyZ41F76
191,Faded,"Alan Walker",5605,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
192,Monaco,Aste,5577,https://open.spotify.com/track/6Z4UPnU2Kwvws4CYN0kZbw
193,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,5568,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
194,Jippikayjei,Cheek,5560,https://open.spotify.com/track/5YZd0Gj1GwXsAjgXoEInlX
195,"Ota varovasti",Vesta,5542,https://open.spotify.com/track/46wULtWD6WHdbYNXk2KLMJ
196,"Yli susta",costee,5531,https://open.spotify.com/track/7b47q9AoUcCG55YFf8aDgv
197,Nonstop,Drake,5482,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
198,Photograph,"Ed Sheeran",5475,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
199,"Mo Bamba","Sheck Wes",5475,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
200,Vesiputouksii,Yona,5470,https://open.spotify.com/track/1nbZMS4UtkvPbCBo6HcRf3
