Position,"Track Name",Artist,URL
1,"Mamichula - con Nicki Nicole",Trueno,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
2,"A Güiro","Rafa Pabön",https://open.spotify.com/track/4hgIsfE3u7duCJFYXm6kZe
3,"Como Estrellas","LA YOUNG",https://open.spotify.com/track/3Iql4v0ISjuMqj7MNkuWJX
4,"Sola - Neuen Live Sessions - En Vivo","Tiago PZK",https://open.spotify.com/track/4P1T0qUkqIVuByWA8i1SQV
5,"Jerusalema (feat. Nomcebo Zikode)","Master KG",https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
6,Mami,Ptazeta,https://open.spotify.com/track/55C0glNSvxJDCfgHwiCZb1
7,"Mi Pan Su Su Sum","DJ Krass",https://open.spotify.com/track/2CUrX5Vrc3OLFQouJ46blh
8,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
9,Flexin',"Lit Killah",https://open.spotify.com/track/0hwEhPxCBLKiqeBMZavGAv
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
12,"Tattoo - Remix with Camilo","Rauw Alejandro",https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
13,"Backyard Boy","Claire Rosinkranz",https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF
14,"Reggaeton Remix","DJ Elements",https://open.spotify.com/track/6t5M5Zs1YZFswW87oP8as9
15,"Ay, DiOs Mío!","KAROL G",https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
16,Trendy,Rvfv,https://open.spotify.com/track/6KS9MjBx9PnEetb0XUqGv6
17,"La Curiosidad","Jay Wheeler",https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
18,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
19,"NEVER MET! (feat. Glitch Gum)",CMTEN,https://open.spotify.com/track/4iMfYGWDKKuP79CAqsKd3n
20,"3 Musketeers",NextYoungin,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q
21,Heather,"Conan Gray",https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,"Mi Cuarto","Jerry Di",https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
23,"Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix","Master KG",https://open.spotify.com/track/6Qa0wHpaiaIzXgMptP3rxV
24,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
25,Caramelo,Ozuna,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
26,DESSERT,HYO,https://open.spotify.com/track/6u0pZe0Uv7GBR0iKptfWRf
27,"Djadja (feat. Maluma) - Remix","Aya Nakamura",https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
28,"El Dandy","El Dandy de Barcelona",https://open.spotify.com/track/0fIHmtUDAAJRcr9dgq39RI
29,Cucu,"Lennis Rodriguez",https://open.spotify.com/track/0hAfLLkw3l8ZZ8jYsPqbls
30,"A Un Passo Dalla Luna","Rocco Hunt",https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
31,Anaranjado,"Jowell & Randy",https://open.spotify.com/track/0cRgJuB6TRtb5RZ2HkjSLh
32,"Such a Whore (Stellular Remix)",JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
33,Ñeri,Trueno,https://open.spotify.com/track/6HVvoYxya254tV9ZeXKyTg
34,"Arrebato de Amor","Juanlu Montoya",https://open.spotify.com/track/1PiNBcONeudspVcLjTRGTN
35,"Sugar Mami","La Zowi",https://open.spotify.com/track/2lwrv8g1JbRlhhqYpPVnlE
36,"La Jeepeta - Remix","Nio Garcia",https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
37,"El Hipo","Danny Romero",https://open.spotify.com/track/3CCPAxHcGuTL43u4U9euVo
38,Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
39,"Dime Cuantas Veces (Remix) [feat. Justin Quiles]","Micro TDH",https://open.spotify.com/track/4MWb6mltydQn84NrTm7Gpl
40,F2020,"Avenue Beat",https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg
41,"Carita de Inocente (feat. Myke Towers) - Remix","Prince Royce",https://open.spotify.com/track/5kQre7o8ky5DXeEPcyaCR1
42,"Me Motiva",Swagger,https://open.spotify.com/track/7K6EDHVBLKLXHkU5uzQ5h3
43,"Si Tú Existieras",Cepeda,https://open.spotify.com/track/2MIuZxR2C5DvQhNWdcc3ob
44,"exile (feat. Bon Iver)","Taylor Swift",https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
45,"Sangría - con WOS",Trueno,https://open.spotify.com/track/51aMyZzlIOitdIA4vyF0JO
46,"Mood Swings (feat. Lil Tjay)","Pop Smoke",https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
47,"Rain II",Trueno,https://open.spotify.com/track/7k1lxZqsXIVDnL1BFNaGKk
48,Normal,Morad,https://open.spotify.com/track/4hCrQ5fZawXKSovXBXniEJ
49,"Head & Heart (feat. MNEK)","Joel Corry",https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
50,Hatchback,Cochise,https://open.spotify.com/track/12hVQgYR254ZziANtiKVWQ
